Sample	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
sample5278_S71_L001_R1_001	90.42380132960967	56.0	248.80813751210658	251	36.36363636363637	0.106347
sample5278_S71_L001_R2_001	78.61434737228132	55.0	249.23494785936603	251	27.27272727272727	0.106347
sample5279_S72_L001_R1_001	90.88818089983681	56.0	248.20682259693837	251	36.36363636363637	0.12869
sample5279_S72_L001_R2_001	79.6495454192245	54.0	248.76449607584118	251	36.36363636363637	0.12869
sample5280_S73_L001_R1_001	91.8978785884259	56.0	249.21148296288794	251	36.36363636363637	0.15800799999999998
sample5280_S73_L001_R2_001	82.83441344742039	54.0	249.31811047541896	251	36.36363636363637	0.15800799999999998
sample5281_S74_L001_R1_001	91.44702630210472	56.0	250.20072118674221	251	36.36363636363637	0.146148
sample5281_S74_L001_R2_001	80.83449653775625	54.0	250.3332717519227	251	27.27272727272727	0.146148
sample5282_S75_L001_R1_001	91.50745670119474	56.0	248.55649463162914	251	36.36363636363637	0.132163
sample5282_S75_L001_R2_001	81.78385781194434	54.0	248.70777751715684	251	36.36363636363637	0.132163
sample5428_S71_L001_R1_001	95.96846941786453	52.0	249.66269021624584	251	36.36363636363637	0.118615
sample5428_S71_L001_R2_001	95.14985457151288	52.0	249.85188213969565	251	36.36363636363637	0.118615
sample5429_S72_L001_R1_001	96.61259034863946	53.0	250.22654921343536	251	36.36363636363637	0.150528
sample5429_S72_L001_R2_001	95.06669855442176	52.0	250.21269796981292	251	36.36363636363637	0.150528
sample5430_S73_L001_R1_001	96.32805395785797	51.0	214.99586613184863	251	36.36363636363637	0.179251
sample5430_S73_L001_R2_001	95.63182353236523	51.0	214.3843437414575	251	36.36363636363637	0.179251
sample5431_S74_L001_R1_001	95.74082042455537	52.0	250.0010255306942	251	36.36363636363637	0.13943999999999998
