.	Basic Statistics	Per Base Sequence Quality	Per Tile Sequence Quality	Per Sequence Quality Scores	Per Base Sequence Content	Per Sequence GC Content	Per Base N Content	Sequence Length Distribution	Sequence Duplication Levels	Overrepresented Sequences	Adapter Content
sample6615_S140_L001_R2_001	1	0.25	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
sample6616_S141_L001_R1_001	1	0.25	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
sample6616_S141_L001_R2_001	1	0.25	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
sample6617_S142_L001_R1_001	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
sample6617_S142_L001_R2_001	1	0.5	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
sample6618_S143_L001_R1_001	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
sample6618_S143_L001_R2_001	1	0.5	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
sample6619_S144_L001_R1_001	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
sample6619_S144_L001_R2_001	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
sample6620_S145_L001_R1_001	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
sample6620_S145_L001_R2_001	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
sample6621_S146_L001_R1_001	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
sample6621_S146_L001_R2_001	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
sample6622_S147_L001_R1_001	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
sample6622_S147_L001_R2_001	1	0.5	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
sample6623_S148_L001_R1_001	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
sample6623_S148_L001_R2_001	1	0.5	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
sample6624_S149_L001_R1_001	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
sample6624_S149_L001_R2_001	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
