Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
sample5278_S71_L001_R1_001	(1.0, 6.76652843991838)	(2.0, 2.2153892446425383)	(3.0, 1.201726423876555)	(4.0, 0.8951827508063228)	(5.0, 0.6817305612758234)	(6.0, 0.564190809331716)	(7.0, 0.5134136364918616)	(8.0, 0.43630755921652703)	(9.0, 0.4739202798386414)	('>10', 9.615692027043545)	('>50', 6.203277948602217)	('>100', 24.193442222159533)	('>500', 20.339078676408363)	('>1k', 25.900119420387973)	('>5k', 0.0)	('>10k+', 0.0)
sample5278_S71_L001_R2_001	(1.0, 16.809124846022925)	(2.0, 3.1463040800398696)	(3.0, 1.8364410843747354)	(4.0, 1.4668961042624615)	(5.0, 1.316445221774004)	(6.0, 1.3709836666760697)	(7.0, 1.007080594657113)	(8.0, 1.053156177419203)	(9.0, 0.9055262489774042)	('>10', 18.26003554402099)	('>50', 8.500474860597853)	('>100', 39.399324851664836)	('>500', 4.92820671951254)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
sample5279_S72_L001_R1_001	(1.0, 6.414639832154791)	(2.0, 1.9690729660424275)	(3.0, 1.2098842178879476)	(4.0, 0.9511228533685601)	(5.0, 0.7343227912036677)	(6.0, 0.6527313699588158)	(7.0, 0.5711399487139638)	(8.0, 0.5221850959670526)	(9.0, 0.4336001243297848)	('>10', 8.668894241976844)	('>50', 5.653896961690885)	('>100', 20.026420079260237)	('>500', 18.850726552179655)	('>1k', 33.34136296526536)	('>5k', 0.0)	('>10k+', 0.0)
sample5279_S72_L001_R2_001	(1.0, 16.444168156033882)	(2.0, 2.8378273370114226)	(3.0, 1.7227445799984458)	(4.0, 1.2557308260160076)	(5.0, 1.1655917320693139)	(6.0, 0.9044991840857876)	(7.0, 0.8213536405315098)	(8.0, 0.7397622192866579)	(9.0, 0.7622969927733312)	('>10', 12.467946227368094)	('>50', 8.20887403838682)	('>100', 36.01367627632295)	('>500', 13.970005439428082)	('>1k', 2.685523350687699)	('>5k', 0.0)	('>10k+', 0.0)
sample5280_S73_L001_R1_001	(1.0, 5.6402207483165405)	(2.0, 1.8290213153764365)	(3.0, 1.0936155131385752)	(4.0, 0.9062832261657638)	(5.0, 0.7056604728874487)	(6.0, 0.5392132043947142)	(7.0, 0.5404789630904764)	(8.0, 0.33416029568123135)	(9.0, 0.27909979241557387)	('>10', 7.534428636524733)	('>50', 6.485114677737835)	('>100', 19.04397245709078)	('>500', 10.852615057465446)	('>1k', 44.216115639714445)	('>5k', 0.0)	('>10k+', 0.0)
sample5280_S73_L001_R2_001	(1.0, 13.315781479418764)	(2.0, 2.654295985013417)	(3.0, 1.6005518707913522)	(4.0, 1.2657586957622398)	(5.0, 1.0980456685737432)	(6.0, 0.9948863348691205)	(7.0, 0.908181864209407)	(8.0, 0.7290770087590502)	(9.0, 0.6835096957116096)	('>10', 14.858741329552934)	('>50', 6.22183686901929)	('>100', 38.54108652726444)	('>500', 12.24494962280391)	('>1k', 4.883297048250721)	('>5k', 0.0)	('>10k+', 0.0)
sample5281_S74_L001_R1_001	(1.0, 5.956975121110108)	(2.0, 1.82144127870378)	(3.0, 1.2275227851219312)	(4.0, 0.9004570709144155)	(5.0, 0.6602895694775159)	(6.0, 0.5378109861236555)	(7.0, 0.4981251881654214)	(8.0, 0.41054273749897363)	(9.0, 0.5665489777485836)	('>10', 8.452390727208035)	('>50', 6.154719873005447)	('>100', 22.493636587568766)	('>500', 17.053945315707363)	('>1k', 33.265593781646004)	('>5k', 0.0)	('>10k+', 0.0)
sample5281_S74_L001_R2_001	(1.0, 14.908859512275226)	(2.0, 2.8231655582012753)	(3.0, 1.744806634370638)	(4.0, 1.4971125160795906)	(5.0, 1.2829460546842926)	(6.0, 1.014040561622465)	(7.0, 1.096833347018091)	(8.0, 1.0893067301639434)	(9.0, 0.8005583381229985)	('>10', 16.22875441333443)	('>50', 6.929961408982675)	('>100', 37.575608287489395)	('>500', 12.167802501573748)	('>1k', 0.8402441360812328)	('>5k', 0.0)	('>10k+', 0.0)
sample5282_S75_L001_R1_001	(1.0, 5.847324894259361)	(2.0, 1.8991699643621893)	(3.0, 1.2734275099687506)	(4.0, 0.9261290981590915)	(5.0, 0.66206124255654)	(6.0, 0.6537381869358292)	(7.0, 0.5031665443429704)	(8.0, 0.40555980115463475)	(9.0, 0.38134727571256705)	('>10', 8.7740139070693)	('>50', 5.857161232720202)	('>100', 18.341744663786386)	('>500', 18.469617063777306)	('>1k', 36.00553861519487)	('>5k', 0.0)	('>10k+', 0.0)
sample5282_S75_L001_R2_001	(1.0, 14.13406172680705)	(2.0, 2.879777244765933)	(3.0, 1.6979033466250009)	(4.0, 1.3407685963545017)	(5.0, 1.150094958498218)	(6.0, 0.994226825964907)	(7.0, 0.9586646792218699)	(8.0, 0.8474383904723712)	(9.0, 0.7286456875222264)	('>10', 14.16205745934944)	('>50', 7.919765743816348)	('>100', 34.98104613242738)	('>500', 16.33210505209476)	('>1k', 1.8734441560799922)	('>5k', 0.0)	('>10k+', 0.0)
sample5428_S71_L001_R1_001	(1.0, 2.7475445769927918)	(2.0, 0.8869030055220671)	(3.0, 0.5387177001222442)	(4.0, 0.4889769422079838)	(5.0, 0.4889769422079838)	(6.0, 0.2933861653247903)	(7.0, 0.2596636175863086)	(8.0, 0.22256881507397883)	(9.0, 0.25797749019938454)	('>10', 3.6057834169371494)	('>50', 1.976984361168486)	('>100', 11.388947434978713)	('>500', 15.571386418243899)	('>1k', 15.792269105930954)	('>5k', 13.017746490747376)	('>10k+', 32.46216751675589)
sample5428_S71_L001_R2_001	(1.0, 3.9143447287442568)	(2.0, 0.6137503688403658)	(3.0, 0.3945538085402352)	(4.0, 0.286641655777094)	(5.0, 0.2571344265059225)	(6.0, 0.30856131180710705)	(7.0, 0.29507229271171437)	(8.0, 0.2630358723601568)	(9.0, 0.1745141845466425)	('>10', 3.857016397588838)	('>50', 1.2848290688361506)	('>100', 2.732369430510475)	('>500', 4.344307212409897)	('>1k', 1.0816507187117987)	('>5k', 6.623951439531256)	('>10k+', 73.56826708257809)
sample5429_S72_L001_R1_001	(1.0, 2.2587159863945576)	(2.0, 0.8237670068027212)	(3.0, 0.4364636479591837)	(4.0, 0.390625)	(5.0, 0.31555590986394555)	(6.0, 0.30691964285714285)	(7.0, 0.20461309523809526)	(8.0, 0.24447278911564627)	(9.0, 0.20328443877551022)	('>10', 3.983976403061224)	('>50', 1.6840720663265307)	('>100', 9.2062606292517)	('>500', 6.5841571003401365)	('>1k', 24.170254039115648)	('>5k', 0.0)	('>10k+', 49.18686224489796)
sample5429_S72_L001_R2_001	(1.0, 4.1254783163265305)	(2.0, 0.5354485544217688)	(3.0, 0.33083545918367346)	(4.0, 0.30559098639455784)	(5.0, 0.19265518707482993)	(6.0, 0.2272002551020408)	(7.0, 0.13950892857142858)	(8.0, 0.18601190476190474)	(9.0, 0.20926339285714285)	('>10', 3.5255899234693877)	('>50', 1.840189200680272)	('>100', 2.806122448979592)	('>500', 1.76312712585034)	('>1k', 1.7544908588435375)	('>5k', 3.813244047619048)	('>10k+', 78.24524340986395)
sample5430_S73_L001_R1_001	(1.0, 2.378229410156708)	(2.0, 0.8479729541257789)	(3.0, 0.6343060847638228)	(4.0, 0.4329125081589503)	(5.0, 0.4435121700855226)	(6.0, 0.3447679510853496)	(7.0, 0.3085059497576025)	(8.0, 0.33026315055425076)	(9.0, 0.21087748464443715)	('>10', 4.087564365052357)	('>50', 2.30961054610574)	('>100', 8.72352176556895)	('>500', 6.571232517531284)	('>1k', 23.207122972814656)	('>5k', 8.831749892608688)	('>10k+', 40.337850276985904)
sample5430_S73_L001_R2_001	(1.0, 3.444332249192473)	(2.0, 0.6013913450970985)	(3.0, 0.4301231234414313)	(4.0, 0.2990220417180378)	(5.0, 0.30683231892709106)	(6.0, 0.2610864095597793)	(7.0, 0.19135179162180407)	(8.0, 0.2052987152093991)	(9.0, 0.20083569966136866)	('>10', 3.506256589921395)	('>50', 1.5659605804151722)	('>100', 2.075860106777647)	('>500', 3.8030471238654178)	('>1k', 6.098710746383563)	('>5k', 9.126308918778696)	('>10k+', 67.88358223942963)
sample5431_S74_L001_R1_001	(1.0, 2.8757888697647735)	(2.0, 1.0183591508892713)	(3.0, 0.6346815834767642)	(4.0, 0.46184738955823296)	(5.0, 0.2976190476190476)	(6.0, 0.3528399311531842)	(7.0, 0.2761044176706827)	(8.0, 0.22948938611589212)	(9.0, 0.2452667814113597)	('>10', 3.9206827309236947)	('>50', 3.287435456110155)	('>100', 13.220740103270224)	('>500', 5.628227194492254)	('>1k', 28.737808376362594)	('>5k', 12.049627079747562)	('>10k+', 26.76348250143431)
sample5431_S74_L001_R2_001	(1.0, 4.997131382673552)	(2.0, 0.6554790590935169)	(3.0, 0.475473321858864)	(4.0, 0.3843947217441193)	(5.0, 0.34781985083189904)	(6.0, 0.2882960413080895)	(7.0, 0.24598393574297187)	(8.0, 0.21227768215720022)	(9.0, 0.16781411359724613)	('>10', 3.2071141709695925)	('>50', 2.126362593230063)	('>100', 3.3154044750430294)	('>500', 2.9790590935169248)	('>1k', 12.20166379804934)	('>5k', 11.151749856569133)	('>10k+', 57.243975903614455)
sample5432_S75_L001_R1_001	(1.0, 33.592233009708735)	(2.0, 10.485436893203884)	(3.0, 3.4951456310679614)	(4.0, 6.213592233009709)	(5.0, 5.825242718446602)	(6.0, 0.0)	(7.0, 2.7184466019417477)	(8.0, 1.5533980582524272)	(9.0, 1.7475728155339807)	('>10', 24.466019417475728)	('>50', 9.902912621359224)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
