Module	Section	Sample Name	Source
FastQC	all_sections	sample5278_S71_L001_R1_001	/Users/luis_alegria/g2f_project/mi_samples/2017_qc/sample5278_S71_L001_R1_001_fastqc.zip
FastQC	all_sections	sample5278_S71_L001_R2_001	/Users/luis_alegria/g2f_project/mi_samples/2017_qc/sample5278_S71_L001_R2_001_fastqc.zip
FastQC	all_sections	sample5279_S72_L001_R1_001	/Users/luis_alegria/g2f_project/mi_samples/2017_qc/sample5279_S72_L001_R1_001_fastqc.zip
FastQC	all_sections	sample5279_S72_L001_R2_001	/Users/luis_alegria/g2f_project/mi_samples/2017_qc/sample5279_S72_L001_R2_001_fastqc.zip
FastQC	all_sections	sample5280_S73_L001_R1_001	/Users/luis_alegria/g2f_project/mi_samples/2017_qc/sample5280_S73_L001_R1_001_fastqc.zip
FastQC	all_sections	sample5280_S73_L001_R2_001	/Users/luis_alegria/g2f_project/mi_samples/2017_qc/sample5280_S73_L001_R2_001_fastqc.zip
FastQC	all_sections	sample5281_S74_L001_R1_001	/Users/luis_alegria/g2f_project/mi_samples/2017_qc/sample5281_S74_L001_R1_001_fastqc.zip
FastQC	all_sections	sample5281_S74_L001_R2_001	/Users/luis_alegria/g2f_project/mi_samples/2017_qc/sample5281_S74_L001_R2_001_fastqc.zip
FastQC	all_sections	sample5282_S75_L001_R1_001	/Users/luis_alegria/g2f_project/mi_samples/2017_qc/sample5282_S75_L001_R1_001_fastqc.zip
FastQC	all_sections	sample5282_S75_L001_R2_001	/Users/luis_alegria/g2f_project/mi_samples/2017_qc/sample5282_S75_L001_R2_001_fastqc.zip
FastQC	all_sections	sample5428_S71_L001_R1_001	/Users/luis_alegria/g2f_project/mi_samples/2017_qc/sample5428_S71_L001_R1_001_fastqc.zip
FastQC	all_sections	sample5428_S71_L001_R2_001	/Users/luis_alegria/g2f_project/mi_samples/2017_qc/sample5428_S71_L001_R2_001_fastqc.zip
FastQC	all_sections	sample5429_S72_L001_R1_001	/Users/luis_alegria/g2f_project/mi_samples/2017_qc/sample5429_S72_L001_R1_001_fastqc.zip
FastQC	all_sections	sample5429_S72_L001_R2_001	/Users/luis_alegria/g2f_project/mi_samples/2017_qc/sample5429_S72_L001_R2_001_fastqc.zip
FastQC	all_sections	sample5430_S73_L001_R1_001	/Users/luis_alegria/g2f_project/mi_samples/2017_qc/sample5430_S73_L001_R1_001_fastqc.zip
FastQC	all_sections	sample5430_S73_L001_R2_001	/Users/luis_alegria/g2f_project/mi_samples/2017_qc/sample5430_S73_L001_R2_001_fastqc.zip
FastQC	all_sections	sample5431_S74_L001_R1_001	/Users/luis_alegria/g2f_project/mi_samples/2017_qc/sample5431_S74_L001_R1_001_fastqc.zip
FastQC	all_sections	sample5431_S74_L001_R2_001	/Users/luis_alegria/g2f_project/mi_samples/2017_qc/sample5431_S74_L001_R2_001_fastqc.zip
FastQC	all_sections	sample5432_S75_L001_R1_001	/Users/luis_alegria/g2f_project/mi_samples/2017_qc/sample5432_S75_L001_R1_001_fastqc.zip
FastQC	all_sections	sample5432_S75_L001_R2_001	/Users/luis_alegria/g2f_project/mi_samples/2017_qc/sample5432_S75_L001_R2_001_fastqc.zip
FastQC	all_sections	sample5926_S101_L001_R1_001	/Users/luis_alegria/g2f_project/mi_samples/2017_qc/sample5926_S101_L001_R1_001_fastqc.zip
FastQC	all_sections	sample5926_S101_L001_R2_001	/Users/luis_alegria/g2f_project/mi_samples/2017_qc/sample5926_S101_L001_R2_001_fastqc.zip
FastQC	all_sections	sample5927_S102_L001_R1_001	/Users/luis_alegria/g2f_project/mi_samples/2017_qc/sample5927_S102_L001_R1_001_fastqc.zip
FastQC	all_sections	sample5927_S102_L001_R2_001	/Users/luis_alegria/g2f_project/mi_samples/2017_qc/sample5927_S102_L001_R2_001_fastqc.zip
FastQC	all_sections	sample5928_S103_L001_R1_001	/Users/luis_alegria/g2f_project/mi_samples/2017_qc/sample5928_S103_L001_R1_001_fastqc.zip
FastQC	all_sections	sample5928_S103_L001_R2_001	/Users/luis_alegria/g2f_project/mi_samples/2017_qc/sample5928_S103_L001_R2_001_fastqc.zip
FastQC	all_sections	sample5929_S104_L001_R1_001	/Users/luis_alegria/g2f_project/mi_samples/2017_qc/sample5929_S104_L001_R1_001_fastqc.zip
FastQC	all_sections	sample5929_S104_L001_R2_001	/Users/luis_alegria/g2f_project/mi_samples/2017_qc/sample5929_S104_L001_R2_001_fastqc.zip
FastQC	all_sections	sample5930_S105_L001_R1_001	/Users/luis_alegria/g2f_project/mi_samples/2017_qc/sample5930_S105_L001_R1_001_fastqc.zip
FastQC	all_sections	sample5930_S105_L001_R2_001	/Users/luis_alegria/g2f_project/mi_samples/2017_qc/sample5930_S105_L001_R2_001_fastqc.zip
FastQC	all_sections	sample6076_S81_L001_R1_001	/Users/luis_alegria/g2f_project/mi_samples/2017_qc/sample6076_S81_L001_R1_001_fastqc.zip
FastQC	all_sections	sample6076_S81_L001_R2_001	/Users/luis_alegria/g2f_project/mi_samples/2017_qc/sample6076_S81_L001_R2_001_fastqc.zip
FastQC	all_sections	sample6077_S82_L001_R1_001	/Users/luis_alegria/g2f_project/mi_samples/2017_qc/sample6077_S82_L001_R1_001_fastqc.zip
FastQC	all_sections	sample6077_S82_L001_R2_001	/Users/luis_alegria/g2f_project/mi_samples/2017_qc/sample6077_S82_L001_R2_001_fastqc.zip
FastQC	all_sections	sample6078_S83_L001_R1_001	/Users/luis_alegria/g2f_project/mi_samples/2017_qc/sample6078_S83_L001_R1_001_fastqc.zip
FastQC	all_sections	sample6078_S83_L001_R2_001	/Users/luis_alegria/g2f_project/mi_samples/2017_qc/sample6078_S83_L001_R2_001_fastqc.zip
FastQC	all_sections	sample6079_S84_L001_R1_001	/Users/luis_alegria/g2f_project/mi_samples/2017_qc/sample6079_S84_L001_R1_001_fastqc.zip
FastQC	all_sections	sample6079_S84_L001_R2_001	/Users/luis_alegria/g2f_project/mi_samples/2017_qc/sample6079_S84_L001_R2_001_fastqc.zip
FastQC	all_sections	sample6080_S85_L001_R1_001	/Users/luis_alegria/g2f_project/mi_samples/2017_qc/sample6080_S85_L001_R1_001_fastqc.zip
FastQC	all_sections	sample6080_S85_L001_R2_001	/Users/luis_alegria/g2f_project/mi_samples/2017_qc/sample6080_S85_L001_R2_001_fastqc.zip
FastQC	all_sections	sample6285_S140_L001_R1_001	/Users/luis_alegria/g2f_project/mi_samples/2017_qc/sample6285_S140_L001_R1_001_fastqc.zip
FastQC	all_sections	sample6285_S140_L001_R2_001	/Users/luis_alegria/g2f_project/mi_samples/2017_qc/sample6285_S140_L001_R2_001_fastqc.zip
FastQC	all_sections	sample6286_S141_L001_R1_001	/Users/luis_alegria/g2f_project/mi_samples/2017_qc/sample6286_S141_L001_R1_001_fastqc.zip
FastQC	all_sections	sample6286_S141_L001_R2_001	/Users/luis_alegria/g2f_project/mi_samples/2017_qc/sample6286_S141_L001_R2_001_fastqc.zip
FastQC	all_sections	sample6287_S142_L001_R1_001	/Users/luis_alegria/g2f_project/mi_samples/2017_qc/sample6287_S142_L001_R1_001_fastqc.zip
FastQC	all_sections	sample6287_S142_L001_R2_001	/Users/luis_alegria/g2f_project/mi_samples/2017_qc/sample6287_S142_L001_R2_001_fastqc.zip
FastQC	all_sections	sample6288_S143_L001_R1_001	/Users/luis_alegria/g2f_project/mi_samples/2017_qc/sample6288_S143_L001_R1_001_fastqc.zip
FastQC	all_sections	sample6288_S143_L001_R2_001	/Users/luis_alegria/g2f_project/mi_samples/2017_qc/sample6288_S143_L001_R2_001_fastqc.zip
FastQC	all_sections	sample6289_S144_L001_R1_001	/Users/luis_alegria/g2f_project/mi_samples/2017_qc/sample6289_S144_L001_R1_001_fastqc.zip
FastQC	all_sections	sample6289_S144_L001_R2_001	/Users/luis_alegria/g2f_project/mi_samples/2017_qc/sample6289_S144_L001_R2_001_fastqc.zip
FastQC	all_sections	sample6290_S145_L001_R1_001	/Users/luis_alegria/g2f_project/mi_samples/2017_qc/sample6290_S145_L001_R1_001_fastqc.zip
FastQC	all_sections	sample6290_S145_L001_R2_001	/Users/luis_alegria/g2f_project/mi_samples/2017_qc/sample6290_S145_L001_R2_001_fastqc.zip
FastQC	all_sections	sample6291_S146_L001_R1_001	/Users/luis_alegria/g2f_project/mi_samples/2017_qc/sample6291_S146_L001_R1_001_fastqc.zip
FastQC	all_sections	sample6291_S146_L001_R2_001	/Users/luis_alegria/g2f_project/mi_samples/2017_qc/sample6291_S146_L001_R2_001_fastqc.zip
FastQC	all_sections	sample6292_S147_L001_R1_001	/Users/luis_alegria/g2f_project/mi_samples/2017_qc/sample6292_S147_L001_R1_001_fastqc.zip
FastQC	all_sections	sample6292_S147_L001_R2_001	/Users/luis_alegria/g2f_project/mi_samples/2017_qc/sample6292_S147_L001_R2_001_fastqc.zip
FastQC	all_sections	sample6293_S148_L001_R1_001	/Users/luis_alegria/g2f_project/mi_samples/2017_qc/sample6293_S148_L001_R1_001_fastqc.zip
FastQC	all_sections	sample6293_S148_L001_R2_001	/Users/luis_alegria/g2f_project/mi_samples/2017_qc/sample6293_S148_L001_R2_001_fastqc.zip
FastQC	all_sections	sample6294_S149_L001_R1_001	/Users/luis_alegria/g2f_project/mi_samples/2017_qc/sample6294_S149_L001_R1_001_fastqc.zip
FastQC	all_sections	sample6294_S149_L001_R2_001	/Users/luis_alegria/g2f_project/mi_samples/2017_qc/sample6294_S149_L001_R2_001_fastqc.zip
FastQC	all_sections	sample6615_S140_L001_R1_001	/Users/luis_alegria/g2f_project/mi_samples/2017_qc/sample6615_S140_L001_R1_001_fastqc.zip
FastQC	all_sections	sample6615_S140_L001_R2_001	/Users/luis_alegria/g2f_project/mi_samples/2017_qc/sample6615_S140_L001_R2_001_fastqc.zip
FastQC	all_sections	sample6616_S141_L001_R1_001	/Users/luis_alegria/g2f_project/mi_samples/2017_qc/sample6616_S141_L001_R1_001_fastqc.zip
FastQC	all_sections	sample6616_S141_L001_R2_001	/Users/luis_alegria/g2f_project/mi_samples/2017_qc/sample6616_S141_L001_R2_001_fastqc.zip
FastQC	all_sections	sample6617_S142_L001_R1_001	/Users/luis_alegria/g2f_project/mi_samples/2017_qc/sample6617_S142_L001_R1_001_fastqc.zip
FastQC	all_sections	sample6617_S142_L001_R2_001	/Users/luis_alegria/g2f_project/mi_samples/2017_qc/sample6617_S142_L001_R2_001_fastqc.zip
FastQC	all_sections	sample6618_S143_L001_R1_001	/Users/luis_alegria/g2f_project/mi_samples/2017_qc/sample6618_S143_L001_R1_001_fastqc.zip
FastQC	all_sections	sample6618_S143_L001_R2_001	/Users/luis_alegria/g2f_project/mi_samples/2017_qc/sample6618_S143_L001_R2_001_fastqc.zip
FastQC	all_sections	sample6619_S144_L001_R1_001	/Users/luis_alegria/g2f_project/mi_samples/2017_qc/sample6619_S144_L001_R1_001_fastqc.zip
FastQC	all_sections	sample6619_S144_L001_R2_001	/Users/luis_alegria/g2f_project/mi_samples/2017_qc/sample6619_S144_L001_R2_001_fastqc.zip
FastQC	all_sections	sample6620_S145_L001_R1_001	/Users/luis_alegria/g2f_project/mi_samples/2017_qc/sample6620_S145_L001_R1_001_fastqc.zip
FastQC	all_sections	sample6620_S145_L001_R2_001	/Users/luis_alegria/g2f_project/mi_samples/2017_qc/sample6620_S145_L001_R2_001_fastqc.zip
FastQC	all_sections	sample6621_S146_L001_R1_001	/Users/luis_alegria/g2f_project/mi_samples/2017_qc/sample6621_S146_L001_R1_001_fastqc.zip
FastQC	all_sections	sample6621_S146_L001_R2_001	/Users/luis_alegria/g2f_project/mi_samples/2017_qc/sample6621_S146_L001_R2_001_fastqc.zip
FastQC	all_sections	sample6622_S147_L001_R1_001	/Users/luis_alegria/g2f_project/mi_samples/2017_qc/sample6622_S147_L001_R1_001_fastqc.zip
FastQC	all_sections	sample6622_S147_L001_R2_001	/Users/luis_alegria/g2f_project/mi_samples/2017_qc/sample6622_S147_L001_R2_001_fastqc.zip
FastQC	all_sections	sample6623_S148_L001_R1_001	/Users/luis_alegria/g2f_project/mi_samples/2017_qc/sample6623_S148_L001_R1_001_fastqc.zip
FastQC	all_sections	sample6623_S148_L001_R2_001	/Users/luis_alegria/g2f_project/mi_samples/2017_qc/sample6623_S148_L001_R2_001_fastqc.zip
FastQC	all_sections	sample6624_S149_L001_R1_001	/Users/luis_alegria/g2f_project/mi_samples/2017_qc/sample6624_S149_L001_R1_001_fastqc.zip
FastQC	all_sections	sample6624_S149_L001_R2_001	/Users/luis_alegria/g2f_project/mi_samples/2017_qc/sample6624_S149_L001_R2_001_fastqc.zip
