Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
sample5278_S71_L001_R1_001	sample5278_S71_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	106347.0	26.4 Mbp	0.0	35-251	56.0	9.576198670390326	248.80813751210658	251	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
sample5278_S71_L001_R2_001	sample5278_S71_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	106347.0	26.5 Mbp	0.0	35-251	55.0	21.38565262771869	249.23494785936603	251	pass	warn	pass	pass	fail	fail	pass	warn	fail	warn	pass
sample5279_S72_L001_R1_001	sample5279_S72_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	128690.0	31.9 Mbp	0.0	35-251	56.0	9.111819100163183	248.20682259693837	251	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
sample5279_S72_L001_R2_001	sample5279_S72_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	128690.0	32 Mbp	0.0	35-251	54.0	20.350454580775505	248.76449607584118	251	pass	warn	pass	pass	fail	fail	pass	warn	fail	fail	pass
sample5280_S73_L001_R1_001	sample5280_S73_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	158008.0	39.3 Mbp	0.0	35-251	56.0	8.102121411574098	249.21148296288794	251	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
sample5280_S73_L001_R2_001	sample5280_S73_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	158008.0	39.3 Mbp	0.0	35-251	54.0	17.16558655257962	249.31811047541896	251	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
sample5281_S74_L001_R1_001	sample5281_S74_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	146148.0	36.5 Mbp	0.0	35-251	56.0	8.552973697895284	250.20072118674221	251	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
sample5281_S74_L001_R2_001	sample5281_S74_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	146148.0	36.5 Mbp	0.0	35-251	54.0	19.165503462243752	250.3332717519227	251	pass	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass
sample5282_S75_L001_R1_001	sample5282_S75_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	132163.0	32.8 Mbp	0.0	35-251	56.0	8.492543298805263	248.55649463162914	251	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
sample5282_S75_L001_R2_001	sample5282_S75_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	132163.0	32.8 Mbp	0.0	35-251	54.0	18.21614218805566	248.70777751715684	251	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
