name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Arenimonas	490567	G	708	843	1551	0.01646
Lysobacter	68	G	218	230	448	0.00475
Luteimonas	83614	G	202	3	205	0.00218
Pseudoxanthomonas	83618	G	70	6	76	0.00081
Agrilutibacter	3382696	G	57	109	166	0.00176
Stenotrophomonas	40323	G	36	0	36	0.00038
Xanthomonas	338	G	23	393	416	0.00441
Solilutibacter	3382695	G	21	31	52	0.00055
Xylella	2370	G	12	34	46	0.00049
Marilutibacter	3382698	G	1	1	2	0.00002
Rhodanobacter	75309	G	109	0	109	0.00116
Dokdonella	323413	G	94	242	336	0.00356
Tahibacter	1453544	G	54	43	97	0.00103
Luteibacter	242605	G	35	12	47	0.00050
Dyella	231454	G	2	8	10	0.00011
Aerosticca	2707020	G	2	16	18	0.00019
Frateuria	70411	G	1	11	12	0.00013
Thiocapsa	1056	G	1393	0	1393	0.01478
Allochromatium	85072	G	8	7	15	0.00016
Nitrosococcus	1227	G	7	0	7	0.00007
Thermochromatium	85073	G	7	6	13	0.00014
Marichromatium	85076	G	7	3	10	0.00011
Rheinheimera	67575	G	1	0	1	0.00001
Candidatus Thiodiazotropha	1913444	G	779	0	779	0.00827
Sedimenticola	349742	G	13	120	133	0.00141
Thiolapillus	1608298	G	2	12	14	0.00015
Spiribacter	1335745	G	149	18	167	0.00177
Acidihalobacter	1765964	G	8	0	8	0.00008
Halorhodospira	85108	G	7	0	7	0.00007
Alkalilimnicola	133193	G	2	0	2	0.00002
Aquisalimonas	406099	G	1	0	1	0.00001
Guyparkeria	2035712	G	2	0	2	0.00002
Granulosicoccus	437504	G	1	0	1	0.00001
Candidatus Moranella	1048757	G	517	0	517	0.00549
Escherichia	561	G	259	1054	1313	0.01393
Klebsiella	570	G	41	327	368	0.00390
Citrobacter	544	G	33	61	94	0.00100
Salmonella	590	G	25	7525	7550	0.08011
Candidatus Blochmanniella	203804	G	9	7	16	0.00017
Candidatus Purcelliella	472825	G	6	0	6	0.00006
Enterobacter	547	G	14	18	32	0.00034
Candidatus Profftia	1177214	G	1	0	1	0.00001
Candidatus Schneideria	1081630	G	1	0	1	0.00001
Candidatus Curculioniphilus	690591	G	1	0	1	0.00001
Sodalis	84565	G	480	71	551	0.00585
Proteus	583	G	52	7	59	0.00063
Providencia	586	G	6	0	6	0.00006
Arsenophonus	637	G	4	0	4	0.00004
Morganella	581	G	1	0	1	0.00001
