name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Luteibacter	242605	G	9411	107	9518	0.13498
Dokdonella	323413	G	10	52	62	0.00088
Dyella	231454	G	7	67	74	0.00105
Tahibacter	1453544	G	4	3	7	0.00010
Stenotrophomonas	40323	G	5901	1	5902	0.08370
Xanthomonas	338	G	23	25	48	0.00068
Lysobacter	68	G	4	0	4	0.00006
Xylella	2370	G	1	0	1	0.00001
Sodalis	84565	G	1065	76	1141	0.01618
Escherichia	561	G	156	1830	1986	0.02816
Salmonella	590	G	123	11749	11872	0.16836
Klebsiella	570	G	94	263	357	0.00506
Enterobacter	547	G	46	35	81	0.00115
Citrobacter	544	G	18	15	33	0.00047
Shigella	620	G	9	50	59	0.00084
Candidatus Moranella	1048757	G	6	4	10	0.00014
Candidatus Ishikawella	409304	G	4	0	4	0.00006
Candidatus Curculioniphilus	690591	G	1	0	1	0.00001
Erwinia	551	G	27	2	29	0.00041
Pantoea	53335	G	27	7	34	0.00048
Dickeya	204037	G	37	4	41	0.00058
Pectobacterium	122277	G	10	5	15	0.00021
Yersinia	629	G	24	3048	3072	0.04357
Serratia	613	G	6	12	18	0.00026
Chania	1745211	G	2	0	2	0.00003
Morganella	581	G	6	0	6	0.00009
Providencia	586	G	1	0	1	0.00001
Arsenophonus	637	G	1	0	1	0.00001
Pragia	82984	G	5	0	5	0.00007
Edwardsiella	635	G	4	0	4	0.00006
Gallaecimonas	745410	G	3	0	3	0.00004
Pseudomonas	286	G	214	300	514	0.00729
Stutzerimonas	2901164	G	4	15	19	0.00027
Ectopseudomonas	3236654	G	2	18	20	0.00028
Acinetobacter	469	G	337	0	337	0.00478
Vibrio	662	G	32	84	116	0.00165
Shewanella	22	G	13	2	15	0.00021
Pseudoalteromonas	53246	G	7	0	7	0.00010
Flocculibacter	2834759	G	1	0	1	0.00001
Alteromonas	226	G	2	0	2	0.00003
Pseudidiomarina	2800384	G	2	0	2	0.00003
Moritella	58050	G	1	0	1	0.00001
Thiocapsa	1056	G	11	0	11	0.00016
Allochromatium	85072	G	5	0	5	0.00007
Thioflavicoccus	156885	G	2	0	2	0.00003
Sedimenticola	349742	G	1	0	1	0.00001
Aeromonas	642	G	14	1	15	0.00021
Oceanisphaera	225143	G	2	0	2	0.00003
Aquicella	254245	G	4	0	4	0.00006
Legionella	445	G	3	0	3	0.00004
Celerinatantimonas	412033	G	6	0	6	0.00009
Candidatus Carsonella	114185	G	1	0	1	0.00001
Salinispirillum	1649491	G	1	0	1	0.00001
Pasteurella	745	G	1	0	1	0.00001
Otariodibacter	1249016	G	1	0	1	0.00001
Methylocaldum	73778	G	1	0	1	0.00001
Sulfuricaulis	1744881	G	1	0	1	0.00001
Paraburkholderia	1822464	G	22751	5	22756	0.32271
Pandoraea	93217	G	551	0	551	0.00781
Ralstonia	48736	G	257	0	257	0.00364
Caballeronia	1827195	G	165	0	165	0.00234
Burkholderia	32008	G	96	6079	6175	0.08757
Polynucleobacter	44013	G	31	0	31	0.00044
Candidatus Vallotia	2018044	G	7	0	7	0.00010
Ephemeroptericola	2680021	G	3	0	3	0.00004
