name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Microvirga	186650	G	1125	6	1131	0.00982
Methylobacterium	407	G	200	2875	3075	0.02671
Bradyrhizobium	374	G	116	20	136	0.00118
Rhodopseudomonas	1073	G	46	542	588	0.00511
Tardiphaga	1395974	G	35	544	579	0.00503
Afipia	1033	G	19	0	19	0.00017
Nitrobacter	911	G	1	11	12	0.00010
Variibacter	1649510	G	1	1	2	0.00002
Devosia	46913	G	762	473	1235	0.01073
Pelagibacterium	1082930	G	2	0	2	0.00002
Rhizobium	379	G	151	246	397	0.00345
Pararhizobium	1612611	G	13	13	26	0.00023
Agrobacterium	357	G	1	69	70	0.00061
Shinella	323620	G	28	0	28	0.00024
Liberibacter	34019	G	21	0	21	0.00018
Sinorhizobium	28105	G	12	0	12	0.00010
Georhizobium	2661800	G	1	0	1	0.00001
Hyphomicrobium	81	G	434	0	434	0.00377
Rhodomicrobium	1068	G	69	11	80	0.00069
Filomicrobium	119044	G	1	0	1	0.00001
Enhydrobacter	212791	G	225	46	271	0.00235
Pseudorhodoplanes	1734920	G	170	30	200	0.00174
Terrihabitans	2874214	G	4	0	4	0.00003
Candidatus Hodgkinia	573657	G	1	0	1	0.00001
Mesorhizobium	68287	G	355	5	360	0.00313
Aminobacter	31988	G	20	6	26	0.00023
Aquibium	2911176	G	13	4	17	0.00015
Nitratireductor	245876	G	3	1	4	0.00003
Bosea	85413	G	213	0	213	0.00185
Phreatobacter	1632780	G	153	53	206	0.00179
Xanthobacter	279	G	74	3	77	0.00067
Labrys	204476	G	34	0	34	0.00030
Pseudolabrys	556257	G	22	6	28	0.00024
Azorhizobium	6	G	16	4	20	0.00017
Ancylobacter	99	G	3	1	4	0.00003
Chenggangzhangella	2041902	G	105	28	133	0.00116
Salinarimonas	690086	G	104	37	141	0.00122
Kaistia	166953	G	79	26	105	0.00091
Anderseniella	444432	G	71	7	78	0.00068
Parvibaculum	256616	G	2	1	3	0.00003
Martelella	293088	G	28	12	40	0.00035
Aureimonas	414371	G	21	0	21	0.00018
Aurantimonas	182269	G	12	4	16	0.00014
Beijerinckia	532	G	27	15	42	0.00036
Methylovirgula	1156568	G	9	0	9	0.00008
Methylocapsa	184923	G	7	3	10	0.00009
Cohaesibacter	655352	G	36	0	36	0.00031
Terrirubrum	3142786	G	23	4	27	0.00023
Brucella	234	G	9	1532	1541	0.01338
Oceaniradius	2679892	G	6	1	7	0.00006
Roseitalea	1915401	G	3	1	4	0.00003
Methylocystis	133	G	6	0	6	0.00005
Afifella	643217	G	5	1	6	0.00005
Blastochloris	59282	G	5	0	5	0.00004
Breoghania	1406135	G	2	0	2	0.00002
Stappia	152161	G	1	0	1	0.00001
Methyloraptor	3382645	G	3	1	4	0.00003
Chelatococcus	28209	G	3	0	3	0.00003
Pleomorphomonas	261933	G	3	1	4	0.00003
Bartonella	773	G	1	0	1	0.00001
Sphingomonas	13687	G	1631	606	2237	0.01943
Sphingobium	165695	G	460	78	538	0.00467
Novosphingobium	165696	G	95	9	104	0.00090
Sphingopyxis	165697	G	27	1	28	0.00024
Parasphingopyxis	1234545	G	5	3	8	0.00007
Sphingorhabdus	1434046	G	3	1	4	0.00003
Alterisphingorhabdus	3382518	G	3	1	4	0.00003
Blastomonas	150203	G	1	1	2	0.00002
Erythrobacter	1041	G	177	1083	1260	0.01094
Aurantiacibacter	2800681	G	32	1	33	0.00029
Tsuneonella	2800686	G	26	46	72	0.00063
Croceibacterium	2676755	G	3	4	7	0.00006
Qipengyuania	1855416	G	2	6	8	0.00007
Sphingosinicella	335405	G	45	28	73	0.00063
Sandaracinobacteroides	2883109	G	15	5	20	0.00017
Polymorphobacter	1508451	G	14	0	14	0.00012
Glacieibacterium	2860235	G	1	0	1	0.00001
Zymomonas	541	G	16	1	17	0.00015
Skermanella	204447	G	1135	0	1135	0.00986
Niveispirillum	1543704	G	37	34	71	0.00062
Azospirillum	191	G	5	6	11	0.00010
Indioceanicola	2478349	G	1	1	2	0.00002
Hypericibacter	2705399	G	214	6	220	0.00191
Ferrovibrio	1231242	G	107	73	180	0.00156
Pararhodospirillum	1612157	G	9	5	14	0.00012
Algihabitans	2821512	G	5	3	8	0.00007
Rhodospirillum	1081	G	2	7	9	0.00008
Defluviicoccus	111830	G	1	0	1	0.00001
Caenispirillum	414051	G	89	127	216	0.00188
Stella	93	G	17	20	37	0.00032
Nisaea	390876	G	6	0	6	0.00005
Varunaivibrio	1866954	G	3	1	4	0.00003
Aestuariispira	1647175	G	1	0	1	0.00001
Caulobacter	75	G	421	76	497	0.00432
