name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Sphingomonas	13687	G	6979	766	7745	0.07702
Sphingobium	165695	G	59	12	71	0.00071
Novosphingobium	165696	G	11	0	11	0.00011
Sphingopyxis	165697	G	10	0	10	0.00010
Parasphingopyxis	1234545	G	2	0	2	0.00002
Novosphingopyxis	2709686	G	1	0	1	0.00001
Zymomonas	541	G	786	35	821	0.00816
Tsuneonella	2800686	G	59	232	291	0.00289
Qipengyuania	1855416	G	12	112	124	0.00123
Erythrobacter	1041	G	11	54	65	0.00065
Altererythrobacter	361177	G	1	13	14	0.00014
Sphingosinicella	335405	G	26	6	32	0.00032
Sandaracinobacteroides	2883109	G	6	1	7	0.00007
Bradyrhizobium	374	G	191	76	267	0.00266
Rhodopseudomonas	1073	G	96	1800	1896	0.01886
Afipia	1033	G	88	0	88	0.00088
Tardiphaga	1395974	G	6	121	127	0.00126
Enhydrobacter	212791	G	220	60	280	0.00278
Pseudorhodoplanes	1734920	G	101	34	135	0.00134
Terrihabitans	2874214	G	5	1	6	0.00006
Candidatus Hodgkinia	573657	G	1	0	1	0.00001
Mesorhizobium	68287	G	309	0	309	0.00307
Labrys	204476	G	135	0	135	0.00134
Xanthobacter	279	G	112	1	113	0.00112
Pseudolabrys	556257	G	17	8	25	0.00025
Azorhizobium	6	G	2	0	2	0.00002
Methylobacterium	407	G	127	496	623	0.00620
Microvirga	186650	G	13	2	15	0.00015
Rhizobium	379	G	57	91	148	0.00147
Neorhizobium	1525371	G	5	10	15	0.00015
Pararhizobium	1612611	G	2	0	2	0.00002
Liberibacter	34019	G	29	0	29	0.00029
Devosia	46913	G	151	44	195	0.00194
Phreatobacter	1632780	G	108	61	169	0.00168
Pleomorphomonas	261933	G	108	64	172	0.00171
Hyphomicrobium	81	G	94	0	94	0.00093
Rhodomicrobium	1068	G	10	2	12	0.00012
Methyloligella	1485594	G	2	0	2	0.00002
Beijerinckia	532	G	50	23	73	0.00073
Methylocapsa	184923	G	19	7	26	0.00026
Methylovirgula	1156568	G	7	0	7	0.00007
Salinarimonas	690086	G	56	33	89	0.00089
Methylocystis	133	G	33	2	35	0.00035
Blastochloris	59282	G	30	0	30	0.00030
Kaistia	166953	G	27	16	43	0.00043
Chenggangzhangella	2041902	G	23	10	33	0.00033
Aureimonas	414371	G	13	0	13	0.00013
Martelella	293088	G	4	0	4	0.00004
Aurantimonas	182269	G	1	0	1	0.00001
Bosea	85413	G	16	0	16	0.00016
Lichenihabitans	2723776	G	11	0	11	0.00011
Afifella	643217	G	9	3	12	0.00012
Terrirubrum	3142786	G	4	1	5	0.00005
Brucella	234	G	4	1997	2001	0.01990
Anderseniella	444432	G	2	0	2	0.00002
Kaustia	2838250	G	1	0	1	0.00001
Bartonella	773	G	2	0	2	0.00002
Cohaesibacter	655352	G	2	0	2	0.00002
Oceaniradius	2679892	G	1	0	1	0.00001
Acuticoccus	1904377	G	1	0	1	0.00001
Methyloraptor	3382645	G	1	0	1	0.00001
Acidibrevibacterium	2603324	G	71	38	109	0.00108
Lichenicola	2804525	G	17	14	31	0.00031
Rhodovastum	504465	G	10	4	14	0.00014
Granulibacter	364409	G	6	3	9	0.00009
Commensalibacter	1079922	G	5	0	5	0.00005
Komagataeibacter	1434011	G	4	27	31	0.00031
Roseomonas	125216	G	97	21	118	0.00117
Acidisoma	512381	G	62	9	71	0.00071
Acidiphilium	522	G	12	0	12	0.00012
Acidocella	50709	G	10	2	12	0.00012
Elioraea	457933	G	51	13	64	0.00064
Niveispirillum	1543704	G	188	69	257	0.00256
Skermanella	204447	G	5	0	5	0.00005
Azospirillum	191	G	2	0	2	0.00002
Hypericibacter	2705399	G	99	0	99	0.00098
Caenispirillum	414051	G	31	16	47	0.00047
Ferrovibrio	1231242	G	21	6	27	0.00027
Pararhodospirillum	1612157	G	8	1	9	0.00009
Rhodospirillum	1081	G	1	1	2	0.00002
Stella	93	G	5	2	7	0.00007
Varunaivibrio	1866954	G	2	0	2	0.00002
Terasakiella	196080	G	1	0	1	0.00001
Nisaea	390876	G	1	0	1	0.00001
Phenylobacterium	20	G	141	23	164	0.00163
Caulobacter	75	G	131	22	153	0.00152
Terricaulis	2768684	G	35	3	38	0.00038
Brevundimonas	41275	G	14	0	14	0.00014
Asticcacaulis	76890	G	7	0	7	0.00007
Hyphobacterium	2004661	G	151	16	167	0.00166
Maricaulis	74317	G	1	0	1	0.00001
Algimonas	1246884	G	1	0	1	0.00001
Pikeienuella	2831955	G	1	80	81	0.00081
Shimia	573139	G	1	0	1	0.00001
Wolbachia	953	G	12	9	21	0.00021
Candidatus Neoehrlichia	467749	G	6	0	6	0.00006
Candidatus Mesenet	2883098	G	6	1	7	0.00007
Rickettsia	780	G	1	3	4	0.00004
Candidatus Phycorickettsia	2115980	G	4	0	4	0.00004
Candidatus Deianiraea	2603321	G	1	0	1	0.00001
Candidatus Nucleicultrix	1509243	G	8	0	8	0.00008
Candidatus Bealeia	1920992	G	6	0	6	0.00006
Candidatus Hydrogenosomobacter	2654634	G	1	0	1	0.00001
Kordiimonas	288021	G	4	0	4	0.00004
Gimibacter	3058346	G	1	0	1	0.00001
Tistrella	171436	G	2	0	2	0.00002
Candidatus Fonsibacter	2045213	G	1	0	1	0.00001
Candidatus Viadribacter	2892997	G	1	0	1	0.00001
Paraburkholderia	1822464	G	966	21	987	0.00982
Ralstonia	48736	G	363	1035	1398	0.01390
Caballeronia	1827195	G	345	0	345	0.00343
Burkholderia	32008	G	72	4465	4537	0.04512
Robbsia	2038280	G	10	5	15	0.00015
Candidatus Vallotia	2018044	G	6	1	7	0.00007
Polynucleobacter	44013	G	5	0	5	0.00005
Cupriavidus	106589	G	3	2	5	0.00005
Lautropia	47670	G	2	3	5	0.00005
Pandoraea	93217	G	2	0	2	0.00002
Pararobbsia	2718863	G	2	1	3	0.00003
Mycoavidus	1810868	G	1	0	1	0.00001
Massilia	149698	G	614	1395	2009	0.01998
Duganella	75654	G	32	0	32	0.00032
Glaciimonas	1229970	G	16	11	27	0.00027
Herbaspirillum	963	G	13	11	24	0.00024
Collimonas	202907	G	12	3	15	0.00015
Actimicrobium	1051898	G	6	15	21	0.00021
Noviherbaspirillum	1344552	G	5	19	24	0.00024
Oxalobacter	846	G	2	1	3	0.00003
Janthinobacterium	29580	G	1	3	4	0.00004
Variovorax	34072	G	306	0	306	0.00304
Limnohabitans	665874	G	184	0	184	0.00183
Comamonas	283	G	9	83	92	0.00091
Delftia	80865	G	2	293	295	0.00293
Hylemonella	232523	G	2	23	25	0.00025
Diaphorobacter	238749	G	2	55	57	0.00057
Vandammella	2919468	G	1	8	9	0.00009
Ottowia	219181	G	1	7	8	0.00008
