name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Ralstonia	48736	G	369	0	369	0.05213
Paraburkholderia	1822464	G	89	106	195	0.02755
Burkholderia	32008	G	4	376	380	0.05368
Cupriavidus	106589	G	1	1	2	0.00028
Variovorax	34072	G	18	0	18	0.00254
Comamonas	283	G	2	0	2	0.00028
Massilia	149698	G	28	0	28	0.00396
Duganella	75654	G	1	0	1	0.00014
Janthinobacterium	29580	G	1	0	1	0.00014
Nitrosospira	35798	G	76	0	76	0.01074
Thauera	33057	G	37	345	382	0.05396
Sodalis	84565	G	222	21	243	0.03433
Candidatus Moranella	1048757	G	35	0	35	0.00494
Escherichia	561	G	29	80	109	0.01540
Salmonella	590	G	6	1273	1279	0.18068
Klebsiella	570	G	4	16	20	0.00283
Enterobacter	547	G	1	2	3	0.00042
Superficieibacter	2303321	G	1	0	1	0.00014
Citrobacter	544	G	1	2	3	0.00042
Proteus	583	G	17	2	19	0.00268
Morganella	581	G	1	0	1	0.00014
Yersinia	629	G	3	745	748	0.10566
Serratia	613	G	2	3	5	0.00071
Pectobacterium	122277	G	2	1	3	0.00042
Pantoea	53335	G	1	0	1	0.00014
Luteibacter	242605	G	98	0	98	0.01384
Dyella	231454	G	13	19	32	0.00452
Stenotrophomonas	40323	G	21	7	28	0.00396
Xanthomonas	338	G	9	1	10	0.00141
Metapseudomonas	3236656	G	20	6	26	0.00367
Pseudomonas	286	G	7	2	9	0.00127
Thiocapsa	1056	G	14	0	14	0.00198
Thioflavicoccus	156885	G	4	0	4	0.00057
Kangiella	261963	G	16	0	16	0.00226
Steroidobacter	469322	G	13	0	13	0.00184
Shewanella	22	G	8	2	10	0.00141
Moritella	58050	G	1	0	1	0.00014
Acinetobacter	469	G	4	1	5	0.00071
Candidatus Paraluminiphilus	3040948	G	2	0	2	0.00028
Aeromonas	642	G	2	1	3	0.00042
Sulfurifustis	1692042	G	1	0	1	0.00014
Vibrio	662	G	1	0	1	0.00014
Mergibacter	2899790	G	1	0	1	0.00014
Rhizobium	379	G	7	94	101	0.01427
Methylobacterium	407	G	65	2	67	0.00946
Phreatobacter	1632780	G	51	61	112	0.01582
Labrys	204476	G	8	0	8	0.00113
Kaistia	166953	G	8	12	20	0.00283
Devosia	46913	G	1	0	1	0.00014
Tsuneonella	2800686	G	56	30	86	0.01215
Croceibacterium	2676755	G	27	15	42	0.00593
Sphingomonas	13687	G	58	8	66	0.00932
Sphingopyxis	165697	G	34	0	34	0.00480
Sphingobium	165695	G	4	0	4	0.00057
Skermanella	204447	G	129	0	129	0.01822
Caenispirillum	414051	G	1	0	1	0.00014
Rickettsia	780	G	1	0	1	0.00014
Wolbachia	953	G	1	98	99	0.01399
Commensalibacter	1079922	G	1	44	45	0.00636
Caulobacter	75	G	13	5	18	0.00254
Niabella	379899	G	39	14	53	0.00749
Flavisolibacter	398041	G	23	7	30	0.00424
Sediminibacterium	504481	G	16	12	28	0.00396
Chitinophaga	79328	G	1	0	1	0.00014
Pontibacter	323449	G	33	13	46	0.00650
Chryseobacterium	59732	G	9	0	9	0.00127
Croceimicrobium	2828338	G	4	2	6	0.00085
Pedobacter	84567	G	9	0	9	0.00127
Aquisphaera	1511635	G	85	47	132	0.01865
Paludisphaera	1763521	G	1	0	1	0.00014
Planctomyces	118	G	1	0	1	0.00014
Verrucomicrobium	2735	G	30	35	65	0.00918
Coraliomargarita	442430	G	1	1	2	0.00028
Candidatus Korobacter	658061	G	77	1	78	0.01102
Paludibaculum	1649475	G	11	0	11	0.00155
Luteitalea	2004797	G	48	0	48	0.00678
Desulfuromonas	890	G	32	0	32	0.00452
Geoalkalibacter	392332	G	1	35	36	0.00509
Geobacter	28231	G	2	0	2	0.00028
Anaeromyxobacter	161492	G	22	0	22	0.00311
Pendulispora	3375062	G	11	0	11	0.00155
Polyangium	55	G	17	1	18	0.00254
Sandaracinus	1055688	G	1	0	1	0.00014
Haliangium	162027	G	3	0	3	0.00042
Leptospira	171	G	24	0	24	0.00339
Brachyspira	29521	G	1	0	1	0.00014
Thermodesulfovibrio	28261	G	13	0	13	0.00184
Dictyoglomus	13	G	7	0	7	0.00099
Sulfurimonas	202746	G	1	0	1	0.00014
Nitrospina	35800	G	1	0	1	0.00014
Nocardioides	1839	G	63	86	149	0.02105
Microlunatus	29404	G	2	4	6	0.00085
Rhodococcus	1827	G	7	0	7	0.00099
Mycolicibacterium	1866885	G	1	10	11	0.00155
Corynebacterium	1716	G	1	0	1	0.00014
Streptomyces	1883	G	51	12	63	0.00890
Cellulosimicrobium	157920	G	31	94	125	0.01766
Ornithinimicrobium	125287	G	13	3	16	0.00226
Microbacterium	33882	G	1	0	1	0.00014
Blastococcus	38501	G	18	0	18	0.00254
Frankia	1854	G	1	0	1	0.00014
Conexibacter	191494	G	83	35	118	0.01667
Rubrobacter	42255	G	73	18	91	0.01285
Iamia	467975	G	6	21	27	0.00381
Actinomarinicola	2789775	G	5	20	25	0.00353
Aquihabitans	1648491	G	1	4	5	0.00071
Candidatus Poriferisocius	2983186	G	1	0	1	0.00014
Raoultibacter	1926677	G	15	1	16	0.00226
Tumebacillus	432330	G	74	0	74	0.01045
Priestia	2800373	G	30	0	30	0.00424
Bacillus	1386	G	15	109	124	0.01752
Heyndrickxia	2837504	G	1	0	1	0.00014
Paenibacillus	44249	G	17	0	17	0.00240
Aneurinibacillus	55079	G	2	0	2	0.00028
Anoxybacillus	150247	G	1	0	1	0.00014
Enterococcus	1350	G	129	49	178	0.02514
Dellaglioa	2767880	G	2	3	5	0.00071
Aerococcus	1375	G	1	0	1	0.00014
Halobacteroides	42417	G	34	1	35	0.00494
Clostridium	1485	G	8	0	8	0.00113
Candidatus Arthromitus	49082	G	1	0	1	0.00014
Thermanaerosceptrum	2651578	G	2	0	2	0.00028
Aristaeella	3046369	G	1	0	1	0.00014
Christensenella	990721	G	2	0	2	0.00028
Sporanaerobacter	165812	G	4	0	4	0.00057
Sporomusa	2375	G	3	0	3	0.00042
Chloroflexus	1107	G	43	0	43	0.00607
Tepidiforma	2682228	G	14	1	15	0.00212
Leptolyngbya	47251	G	23	0	23	0.00325
Minisyncoccus	3238478	G	36	0	36	0.00509
Aminomonas	81411	G	2	0	2	0.00028
Candidatus Nitrosocosmicus	1826864	G	28	0	28	0.00396
