name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Bradyrhizobium	374	G	89	8	97	0.00094
Rhodopseudomonas	1073	G	65	665	730	0.00708
Afipia	1033	G	13	0	13	0.00013
Tardiphaga	1395974	G	6	67	73	0.00071
Variibacter	1649510	G	1	1	2	0.00002
Microvirga	186650	G	548	10	558	0.00541
Methylobacterium	407	G	109	40	149	0.00145
Devosia	46913	G	457	292	749	0.00727
Hyphomicrobium	81	G	378	0	378	0.00367
Rhodomicrobium	1068	G	103	19	122	0.00118
Methyloligella	1485594	G	1	0	1	0.00001
Enhydrobacter	212791	G	276	68	344	0.00334
Pseudorhodoplanes	1734920	G	163	32	195	0.00189
Terrihabitans	2874214	G	7	1	8	0.00008
Nordella	169055	G	2	0	2	0.00002
Rhizobium	379	G	42	225	267	0.00259
Pararhizobium	1612611	G	8	0	8	0.00008
Liberibacter	34019	G	19	0	19	0.00018
Shinella	323620	G	13	0	13	0.00013
Hoeflea	274591	G	1	0	1	0.00001
Georhizobium	2661800	G	1	0	1	0.00001
Mesorhizobium	68287	G	260	0	260	0.00252
Nitratireductor	245876	G	2	0	2	0.00002
Aquibium	2911176	G	1	0	1	0.00001
Phreatobacter	1632780	G	185	70	255	0.00247
Xanthobacter	279	G	72	1	73	0.00071
Labrys	204476	G	20	0	20	0.00019
Azorhizobium	6	G	16	5	21	0.00020
Pseudolabrys	556257	G	8	2	10	0.00010
Ancylobacter	99	G	7	2	9	0.00009
Beijerinckia	532	G	41	9	50	0.00049
Methylocapsa	184923	G	15	2	17	0.00016
Methylovirgula	1156568	G	10	0	10	0.00010
Chenggangzhangella	2041902	G	66	20	86	0.00083
Kaistia	166953	G	54	20	74	0.00072
Salinarimonas	690086	G	48	19	67	0.00065
Aureimonas	414371	G	28	0	28	0.00027
Martelella	293088	G	13	0	13	0.00013
Aurantimonas	182269	G	4	1	5	0.00005
Cohaesibacter	655352	G	37	0	37	0.00036
Anderseniella	444432	G	25	5	30	0.00029
Pyruvatibacter	1742974	G	1	3	4	0.00004
Terrirubrum	3142786	G	15	3	18	0.00017
Brucella	234	G	13	3910	3923	0.03806
Afifella	643217	G	6	1	7	0.00007
Methylocystis	133	G	6	0	6	0.00006
Blastochloris	59282	G	5	0	5	0.00005
Methyloraptor	3382645	G	4	1	5	0.00005
Oceaniradius	2679892	G	2	0	2	0.00002
Bosea	85413	G	2	0	2	0.00002
Chelatococcus	28209	G	2	0	2	0.00002
Pleomorphomonas	261933	G	2	0	2	0.00002
Sphingomonas	13687	G	2014	689	2703	0.02623
Sphingobium	165695	G	240	18	258	0.00250
Sphingopyxis	165697	G	47	1	48	0.00047
Sphingorhabdus	1434046	G	40	13	53	0.00051
