Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
sample5278_S71_L001_R1_001	(1.0, 5.86619771821843)	(2.0, 2.0603336915578425)	(3.0, 1.0876998729931286)	(4.0, 0.8857915133357215)	(5.0, 0.6458896451406303)	(6.0, 0.5992119060800468)	(7.0, 0.44832340074467275)	(8.0, 0.45157998719076)	(9.0, 0.39079037353046536)	('>10', 10.570879603999089)	('>50', 6.209224823872949)	('>100', 25.837756863255933)	('>500', 24.404858826977563)	('>1k', 20.541461773102768)	('>5k', 0.0)	('>10k+', 0.0)
sample5278_S71_L001_R2_001	(1.0, 9.784956741676707)	(2.0, 2.9917174151387846)	(3.0, 1.9148728302992801)	(4.0, 1.6500037993508538)	(5.0, 1.4654639007392452)	(6.0, 1.4589507278470706)	(7.0, 1.1626013612531345)	(8.0, 1.094213045885303)	(9.0, 0.9965154525026866)	('>10', 20.427481247489716)	('>50', 9.667719629617569)	('>100', 44.39161537543014)	('>500', 2.99388847276951)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
sample5279_S72_L001_R1_001	(1.0, 5.553229066147152)	(2.0, 1.8626076507109952)	(3.0, 1.163447007628862)	(4.0, 0.8957995739489832)	(5.0, 0.7874660888880798)	(6.0, 0.5735302150283124)	(7.0, 0.6563734683101797)	(8.0, 0.4952387888498443)	(9.0, 0.4342443056642937)	('>10', 8.948892085283031)	('>50', 6.300639076525318)	('>100', 24.54527247237041)	('>500', 15.216758006663875)	('>1k', 32.56650219398066)	('>5k', 0.0)	('>10k+', 0.0)
sample5279_S72_L001_R2_001	(1.0, 8.569269704859531)	(2.0, 2.6127487573512007)	(3.0, 1.6768931048923037)	(4.0, 1.4056042095297052)	(5.0, 1.2745115889518053)	(6.0, 1.0050434244305664)	(7.0, 0.8411776487081914)	(8.0, 0.7865557234673998)	(9.0, 0.9422282104036559)	('>10', 14.20261092802651)	('>50', 9.443220508712196)	('>100', 40.51126122025381)	('>500', 14.85898439633669)	('>1k', 1.8698905740764344)	('>5k', 0.0)	('>10k+', 0.0)
sample5280_S73_L001_R1_001	(1.0, 5.022850492491981)	(2.0, 1.772687274688467)	(3.0, 1.0453035851145365)	(4.0, 0.8288625848022936)	(5.0, 0.6244855090976185)	(6.0, 0.5279741122370775)	(7.0, 0.41726986289704504)	(8.0, 0.4144312924011468)	(9.0, 0.2810184790939283)	('>10', 7.972125237730279)	('>50', 6.132021913764228)	('>100', 20.941553833489454)	('>500', 10.828436799227909)	('>1k', 43.19097902296404)	('>5k', 0.0)	('>10k+', 0.0)
sample5280_S73_L001_R2_001	(1.0, 7.726588889835079)	(2.0, 2.5050384626302193)	(3.0, 1.5179255726815977)	(4.0, 1.3511595560475744)	(5.0, 1.1034942802804508)	(6.0, 1.0942689261687815)	(7.0, 0.9636946833574612)	(8.0, 0.8175083028187005)	(9.0, 0.7089329813505918)	('>10', 16.17630361350024)	('>50', 6.85018024922649)	('>100', 42.11799937551449)	('>500', 13.285929206051833)	('>1k', 3.78097590053649)	('>5k', 0.0)	('>10k+', 0.0)
sample5281_S74_L001_R1_001	(1.0, 5.247256135158466)	(2.0, 1.7110617832038475)	(3.0, 1.193118756936737)	(4.0, 0.8724873597237637)	(5.0, 0.5549389567147613)	(6.0, 0.4948205697373289)	(7.0, 0.550314465408805)	(8.0, 0.49327907263534343)	(9.0, 0.4300776914539401)	('>10', 8.928351214699717)	('>50', 6.966796152423234)	('>100', 22.959057836971265)	('>500', 17.118325317548404)	('>1k', 32.480114687384386)	('>5k', 0.0)	('>10k+', 0.0)
sample5281_S74_L001_R2_001	(1.0, 8.563787150080158)	(2.0, 2.7423233444321125)	(3.0, 1.7503699593044764)	(4.0, 1.5754100382291283)	(5.0, 1.3796399062769762)	(6.0, 1.059008509064003)	(7.0, 1.327229004809471)	(8.0, 1.1407078554692318)	(9.0, 0.9711431742508323)	('>10', 17.479035639413)	('>50', 7.660469848316685)	('>100', 41.33755703539278)	('>500', 12.101522999136762)	('>1k', 0.9117955358243927)	('>5k', 0.0)	('>10k+', 0.0)
sample5282_S75_L001_R1_001	(1.0, 5.198911934716083)	(2.0, 1.7409044542672563)	(3.0, 1.264875892553553)	(4.0, 0.9384563073784427)	(5.0, 0.6120367222033322)	(6.0, 0.60183611016661)	(7.0, 0.41652499149948996)	(8.0, 0.5032301938116287)	(9.0, 0.34427065623937436)	('>10', 9.072594355661339)	('>50', 6.350731043862631)	('>100', 19.21285277116627)	('>500', 20.259265555933357)	('>1k', 33.48350901054063)	('>5k', 0.0)	('>10k+', 0.0)
sample5282_S75_L001_R2_001	(1.0, 8.685821149268955)	(2.0, 2.7337640258415505)	(3.0, 1.7392043522611356)	(4.0, 1.4212852771166269)	(5.0, 1.2113226793607617)	(6.0, 1.1271676300578035)	(7.0, 1.0472628357701461)	(8.0, 0.9044542672560354)	(9.0, 0.8415504930295818)	('>10', 15.278816729003742)	('>50', 8.877082624957497)	('>100', 38.724923495409726)	('>500', 16.513090785447126)	('>1k', 0.8942536552193132)	('>5k', 0.0)	('>10k+', 0.0)
