Sample	Unique Reads	Duplicate Reads
sample5278_S71_L001_R1_001	7909.0	84212.0
sample5278_S71_L001_R2_001	13425.0	78696.0
sample5279_S72_L001_R1_001	9000.0	100846.0
sample5279_S72_L001_R2_001	13801.0	96045.0
sample5280_S73_L001_R1_001	10458.0	130458.0
sample5280_S73_L001_R2_001	16391.0	124525.0
sample5281_S74_L001_R1_001	10083.0	119661.0
sample5281_S74_L001_R2_001	16834.0	112910.0
sample5282_S75_L001_R1_001	9147.0	108493.0
sample5282_S75_L001_R2_001	15155.0	102485.0
sample5428_S71_L001_R1_001	3790.0	106323.0
sample5428_S71_L001_R2_001	2050.0	108063.0
sample5429_S72_L001_R1_001	4019.0	135237.0
sample5429_S72_L001_R2_001	2179.0	137077.0
sample5430_S73_L001_R1_001	4454.0	134891.0
sample5430_S73_L001_R2_001	2582.0	136763.0
sample5431_S74_L001_R1_001	4705.0	124485.0
sample5431_S74_L001_R2_001	2801.0	126389.0
sample5432_S75_L001_R1_001	154.0	124.0
sample5432_S75_L001_R2_001	115.0	163.0
sample5926_S101_L001_R1_001	8616.0	103150.0
sample5926_S101_L001_R2_001	13756.0	98010.0
sample5927_S102_L001_R1_001	8368.0	87876.0
sample5927_S102_L001_R2_001	11921.0	84323.0
sample5928_S103_L001_R1_001	8649.0	92844.0
sample5928_S103_L001_R2_001	11174.0	90319.0
sample5929_S104_L001_R1_001	8993.0	96379.0
sample5929_S104_L001_R2_001	10505.0	94867.0
sample5930_S105_L001_R1_001	9221.0	102596.0
sample5930_S105_L001_R2_001	9108.0	102709.0
sample6076_S81_L001_R1_001	3382.0	107274.0
sample6076_S81_L001_R2_001	2077.0	108579.0
sample6077_S82_L001_R1_001	3552.0	100794.0
sample6077_S82_L001_R2_001	1695.0	102651.0
sample6078_S83_L001_R1_001	3279.0	96998.0
sample6078_S83_L001_R2_001	1548.0	98729.0
sample6079_S84_L001_R1_001	3509.0	103999.0
sample6079_S84_L001_R2_001	1862.0	105646.0
sample6080_S85_L001_R1_001	3291.0	97568.0
sample6080_S85_L001_R2_001	1834.0	99025.0
sample6285_S140_L001_R1_001	1293.0	32885.0
sample6285_S140_L001_R2_001	2386.0	31792.0
sample6286_S141_L001_R1_001	770.0	7856.0
sample6286_S141_L001_R2_001	1174.0	7452.0
sample6287_S142_L001_R1_001	924.0	7303.0
sample6287_S142_L001_R2_001	1529.0	6698.0
sample6288_S143_L001_R1_001	1316.0	18753.0
sample6288_S143_L001_R2_001	2378.0	17691.0
sample6289_S144_L001_R1_001	740.0	6928.0
sample6289_S144_L001_R2_001	1101.0	6567.0
sample6290_S145_L001_R1_001	1931.0	69738.0
sample6290_S145_L001_R2_001	3562.0	68107.0
sample6291_S146_L001_R1_001	2016.0	27913.0
sample6291_S146_L001_R2_001	3153.0	26776.0
sample6292_S147_L001_R1_001	1349.0	41190.0
sample6292_S147_L001_R2_001	2586.0	39953.0
sample6293_S148_L001_R1_001	2283.0	68891.0
sample6293_S148_L001_R2_001	3655.0	67519.0
sample6294_S149_L001_R1_001	2183.0	54943.0
sample6294_S149_L001_R2_001	3985.0	53141.0
sample6615_S140_L001_R1_001	90.0	1143.0
sample6615_S140_L001_R2_001	91.0	1142.0
sample6616_S141_L001_R1_001	90.0	170.0
sample6616_S141_L001_R2_001	78.0	182.0
sample6617_S142_L001_R1_001	144.0	2193.0
sample6617_S142_L001_R2_001	148.0	2189.0
sample6618_S143_L001_R1_001	158.0	2154.0
sample6618_S143_L001_R2_001	175.0	2137.0
sample6619_S144_L001_R1_001	112.0	1370.0
sample6619_S144_L001_R2_001	112.0	1370.0
sample6620_S145_L001_R1_001	1968.0	88207.0
sample6620_S145_L001_R2_001	1034.0	89141.0
sample6621_S146_L001_R1_001	1864.0	85030.0
sample6621_S146_L001_R2_001	1578.0	85316.0
sample6622_S147_L001_R1_001	1059.0	36304.0
sample6622_S147_L001_R2_001	745.0	36618.0
sample6623_S148_L001_R1_001	2229.0	88227.0
sample6623_S148_L001_R2_001	1501.0	88955.0
sample6624_S149_L001_R1_001	1548.0	84064.0
sample6624_S149_L001_R2_001	1091.0	84521.0
