Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13
sample5926_S101_L001_R2_001	(26.0, 3.0)	(27.0, 25.0)	(28.0, 97.0)	(29.0, 282.0)	(30.0, 767.0)	(31.0, 1548.0)	(32.0, 2886.0)	(33.0, 5263.0)	(34.0, 9607.0)	(35.0, 21170.0)	(36.0, 50627.0)	(37.0, 19491.0)		
sample5927_S102_L001_R1_001	(28.0, 4.0)	(29.0, 25.0)	(30.0, 133.0)	(31.0, 378.0)	(32.0, 961.0)	(33.0, 2123.0)	(34.0, 4075.0)	(35.0, 7201.0)	(36.0, 13619.0)	(37.0, 67725.0)				
sample5927_S102_L001_R2_001	(26.0, 8.0)	(27.0, 16.0)	(28.0, 70.0)	(29.0, 229.0)	(30.0, 615.0)	(31.0, 1223.0)	(32.0, 2373.0)	(33.0, 4340.0)	(34.0, 8089.0)	(35.0, 18029.0)	(36.0, 44045.0)	(37.0, 17207.0)		
sample5928_S103_L001_R1_001	(27.0, 3.0)	(28.0, 10.0)	(29.0, 38.0)	(30.0, 117.0)	(31.0, 354.0)	(32.0, 1026.0)	(33.0, 2232.0)	(34.0, 4231.0)	(35.0, 7449.0)	(36.0, 14201.0)	(37.0, 71832.0)			
sample5928_S103_L001_R2_001	(25.0, 1.0)	(26.0, 7.0)	(27.0, 16.0)	(28.0, 73.0)	(29.0, 256.0)	(30.0, 625.0)	(31.0, 1246.0)	(32.0, 2348.0)	(33.0, 4321.0)	(34.0, 8116.0)	(35.0, 18351.0)	(36.0, 46140.0)	(37.0, 19993.0)	
sample5929_S104_L001_R1_001	(26.0, 1.0)	(27.0, 0.0)	(28.0, 6.0)	(29.0, 36.0)	(30.0, 126.0)	(31.0, 373.0)	(32.0, 988.0)	(33.0, 2300.0)	(34.0, 4475.0)	(35.0, 7786.0)	(36.0, 14778.0)	(37.0, 74503.0)		
sample5929_S104_L001_R2_001	(25.0, 1.0)	(26.0, 5.0)	(27.0, 28.0)	(28.0, 82.0)	(29.0, 271.0)	(30.0, 661.0)	(31.0, 1467.0)	(32.0, 2675.0)	(33.0, 4915.0)	(34.0, 8756.0)	(35.0, 19736.0)	(36.0, 46790.0)	(37.0, 19985.0)	
sample5930_S105_L001_R1_001	(28.0, 4.0)	(29.0, 27.0)	(30.0, 114.0)	(31.0, 427.0)	(32.0, 1047.0)	(33.0, 2305.0)	(34.0, 4460.0)	(35.0, 8003.0)	(36.0, 15513.0)	(37.0, 79917.0)				
sample5930_S105_L001_R2_001	(26.0, 3.0)	(27.0, 26.0)	(28.0, 81.0)	(29.0, 258.0)	(30.0, 651.0)	(31.0, 1506.0)	(32.0, 2815.0)	(33.0, 5129.0)	(34.0, 9815.0)	(35.0, 22323.0)	(36.0, 50259.0)	(37.0, 18951.0)		
sample6076_S81_L001_R1_001	(28.0, 7.0)	(29.0, 29.0)	(30.0, 119.0)	(31.0, 329.0)	(32.0, 946.0)	(33.0, 2330.0)	(34.0, 5278.0)	(35.0, 10375.0)	(36.0, 23118.0)	(37.0, 68125.0)				
sample6076_S81_L001_R2_001	(25.0, 1.0)	(26.0, 9.0)	(27.0, 32.0)	(28.0, 101.0)	(29.0, 234.0)	(30.0, 525.0)	(31.0, 990.0)	(32.0, 2039.0)	(33.0, 3911.0)	(34.0, 7593.0)	(35.0, 15302.0)	(36.0, 41633.0)	(37.0, 38286.0)	
sample6077_S82_L001_R1_001	(28.0, 5.0)	(29.0, 28.0)	(30.0, 120.0)	(31.0, 396.0)	(32.0, 1097.0)	(33.0, 2442.0)	(34.0, 5258.0)	(35.0, 10161.0)	(36.0, 21831.0)	(37.0, 63008.0)				
sample6077_S82_L001_R2_001	(25.0, 1.0)	(26.0, 7.0)	(27.0, 33.0)	(28.0, 79.0)	(29.0, 186.0)	(30.0, 509.0)	(31.0, 928.0)	(32.0, 1880.0)	(33.0, 3578.0)	(34.0, 6923.0)	(35.0, 14617.0)	(36.0, 39451.0)	(37.0, 36154.0)	
sample6078_S83_L001_R1_001	(28.0, 1.0)	(29.0, 16.0)	(30.0, 103.0)	(31.0, 341.0)	(32.0, 893.0)	(33.0, 2235.0)	(34.0, 4807.0)	(35.0, 9458.0)	(36.0, 20623.0)	(37.0, 61800.0)				
sample6078_S83_L001_R2_001	(26.0, 5.0)	(27.0, 33.0)	(28.0, 77.0)	(29.0, 202.0)	(30.0, 421.0)	(31.0, 794.0)	(32.0, 1605.0)	(33.0, 3109.0)	(34.0, 6185.0)	(35.0, 13312.0)	(36.0, 36871.0)	(37.0, 37663.0)		
sample6079_S84_L001_R1_001	(27.0, 1.0)	(28.0, 3.0)	(29.0, 17.0)	(30.0, 93.0)	(31.0, 349.0)	(32.0, 995.0)	(33.0, 2497.0)	(34.0, 5274.0)	(35.0, 10485.0)	(36.0, 23227.0)	(37.0, 64567.0)			
sample6079_S84_L001_R2_001	(25.0, 3.0)	(26.0, 6.0)	(27.0, 22.0)	(28.0, 97.0)	(29.0, 220.0)	(30.0, 440.0)	(31.0, 904.0)	(32.0, 1769.0)	(33.0, 3726.0)	(34.0, 7175.0)	(35.0, 15372.0)	(36.0, 40811.0)	(37.0, 36963.0)	
sample6080_S85_L001_R1_001	(28.0, 2.0)	(29.0, 20.0)	(30.0, 95.0)	(31.0, 306.0)	(32.0, 843.0)	(33.0, 2076.0)	(34.0, 4640.0)	(35.0, 9886.0)	(36.0, 22454.0)	(37.0, 60537.0)				
sample6080_S85_L001_R2_001	(25.0, 1.0)	(26.0, 4.0)	(27.0, 16.0)	(28.0, 56.0)	(29.0, 172.0)	(30.0, 384.0)	(31.0, 883.0)	(32.0, 1819.0)	(33.0, 3781.0)	(34.0, 7899.0)	(35.0, 17019.0)	(36.0, 41562.0)	(37.0, 27263.0)	
sample6285_S140_L001_R1_001	(28.0, 1.0)	(29.0, 9.0)	(30.0, 39.0)	(31.0, 110.0)	(32.0, 326.0)	(33.0, 639.0)	(34.0, 1228.0)	(35.0, 2156.0)	(36.0, 4452.0)	(37.0, 25218.0)				
sample6285_S140_L001_R2_001	(26.0, 5.0)	(27.0, 7.0)	(28.0, 24.0)	(29.0, 81.0)	(30.0, 223.0)	(31.0, 396.0)	(32.0, 827.0)	(33.0, 1459.0)	(34.0, 2638.0)	(35.0, 4799.0)	(36.0, 11643.0)	(37.0, 12076.0)		
sample6286_S141_L001_R1_001	(29.0, 3.0)	(30.0, 8.0)	(31.0, 46.0)	(32.0, 97.0)	(33.0, 209.0)	(34.0, 359.0)	(35.0, 628.0)	(36.0, 1155.0)	(37.0, 6121.0)					
sample6286_S141_L001_R2_001	(27.0, 1.0)	(28.0, 2.0)	(29.0, 8.0)	(30.0, 37.0)	(31.0, 115.0)	(32.0, 203.0)	(33.0, 374.0)	(34.0, 584.0)	(35.0, 1206.0)	(36.0, 2712.0)	(37.0, 3384.0)			
sample6287_S142_L001_R1_001	(29.0, 3.0)	(30.0, 8.0)	(31.0, 37.0)	(32.0, 81.0)	(33.0, 172.0)	(34.0, 355.0)	(35.0, 560.0)	(36.0, 1164.0)	(37.0, 5847.0)					
sample6287_S142_L001_R2_001	(28.0, 6.0)	(29.0, 19.0)	(30.0, 46.0)	(31.0, 90.0)	(32.0, 200.0)	(33.0, 347.0)	(34.0, 632.0)	(35.0, 1044.0)	(36.0, 2658.0)	(37.0, 3185.0)				
sample6288_S143_L001_R1_001	(29.0, 10.0)	(30.0, 28.0)	(31.0, 68.0)	(32.0, 167.0)	(33.0, 378.0)	(34.0, 743.0)	(35.0, 1278.0)	(36.0, 2673.0)	(37.0, 14724.0)					
sample6288_S143_L001_R2_001	(27.0, 7.0)	(28.0, 18.0)	(29.0, 36.0)	(30.0, 110.0)	(31.0, 228.0)	(32.0, 437.0)	(33.0, 833.0)	(34.0, 1479.0)	(35.0, 2765.0)	(36.0, 6211.0)	(37.0, 7945.0)			
