Sample	Unique Reads	Duplicate Reads
sample12835_S50_L001_R1_001	294.0	405.0
sample12835_S50_L001_R2_001	489.0	210.0
sample12836_S51_L001_R1_001	4051.0	35648.0
sample12836_S51_L001_R2_001	9118.0	30581.0
sample12837_S52_L001_R1_001	2800.0	44429.0
sample12837_S52_L001_R2_001	9188.0	38041.0
sample12838_S53_L001_R1_001	1108.0	10366.0
sample12838_S53_L001_R2_001	3021.0	8453.0
sample12839_S54_L001_R1_001	2519.0	33175.0
sample12839_S54_L001_R2_001	6659.0	29035.0
sample12840_S55_L001_R1_001	4858.0	102776.0
sample12840_S55_L001_R2_001	9907.0	97727.0
sample12841_S56_L001_R1_001	2862.0	65833.0
sample12841_S56_L001_R2_001	8817.0	59878.0
sample12842_S57_L001_R1_001	4836.0	81924.0
sample12842_S57_L001_R2_001	13198.0	73562.0
sample12843_S58_L001_R1_001	2724.0	48555.0
sample12843_S58_L001_R2_001	8303.0	42976.0
sample12844_S59_L001_R1_001	3025.0	63112.0
sample12844_S59_L001_R2_001	9868.0	56269.0
sample12973_S188_L001_R1_001	192.0	534.0
sample12973_S188_L001_R2_001	184.0	542.0
sample12974_S189_L001_R1_001	174.0	749.0
sample12974_S189_L001_R2_001	189.0	734.0
sample12975_S190_L001_R1_001	158.0	1189.0
sample12975_S190_L001_R2_001	164.0	1183.0
sample13079_S41_L001_R1_001	11529.0	120674.0
sample13079_S41_L001_R2_001	27282.0	104921.0
sample13080_S42_L001_R1_001	15225.0	170413.0
sample13080_S42_L001_R2_001	33012.0	152626.0
sample13081_S43_L001_R1_001	9843.0	97391.0
sample13081_S43_L001_R2_001	18673.0	88561.0
sample13082_S44_L001_R1_001	10833.0	109718.0
sample13082_S44_L001_R2_001	21977.0	98574.0
sample13083_S45_L001_R1_001	11595.0	133987.0
sample13083_S45_L001_R2_001	27806.0	117776.0
sample13084_S46_L001_R1_001	11830.0	122467.0
sample13084_S46_L001_R2_001	31262.0	103035.0
sample13085_S47_L001_R1_001	10007.0	111702.0
sample13085_S47_L001_R2_001	24004.0	97705.0
sample13086_S48_L001_R1_001	10882.0	110211.0
sample13086_S48_L001_R2_001	26538.0	94555.0
sample13087_S49_L001_R1_001	10650.0	140225.0
sample13087_S49_L001_R2_001	24954.0	125921.0
sample13088_S50_L001_R1_001	9849.0	119691.0
sample13088_S50_L001_R2_001	24052.0	105488.0
sample13225_S41_L001_R1_001	4664.0	87188.0
sample13225_S41_L001_R2_001	7113.0	84739.0
sample13226_S42_L001_R1_001	6916.0	155947.0
sample13226_S42_L001_R2_001	11466.0	151397.0
sample13227_S43_L001_R1_001	10444.0	404374.0
sample13227_S43_L001_R2_001	17646.0	397172.0
sample13228_S44_L001_R1_001	5458.0	157508.0
sample13228_S44_L001_R2_001	9138.0	153828.0
sample13229_S45_L001_R1_001	6737.0	221779.0
sample13229_S45_L001_R2_001	10808.0	217708.0
sample13230_S46_L001_R1_001	3793.0	73304.0
sample13230_S46_L001_R2_001	6857.0	70240.0
sample13231_S47_L001_R1_001	3774.0	97915.0
sample13231_S47_L001_R2_001	5160.0	96529.0
sample13232_S48_L001_R1_001	6960.0	227552.0
sample13232_S48_L001_R2_001	9898.0	224614.0
sample13233_S49_L001_R1_001	18050.0	731058.0
sample13233_S49_L001_R2_001	22686.0	726422.0
sample13234_S50_L001_R1_001	2214.0	26353.0
sample13234_S50_L001_R2_001	2291.0	26276.0
