Sample	Top overrepresented sequence	Sum of remaining overrepresented sequences
sample12835_S50_L001_R1_001	8.726752503576538	91.27324749642347
sample12835_S50_L001_R2_001	5.293276108726753	94.70672389127323
sample12836_S51_L001_R1_001	10.1010101010101	66.37698682586463
sample12836_S51_L001_R2_001	6.866671704576942	55.064359303760796
sample12837_S52_L001_R1_001	28.637066209320544	54.792606237692944
sample12837_S52_L001_R2_001	4.4548900040229515	59.85940841432171
sample12838_S53_L001_R1_001	15.434896287258148	69.4265295450584
sample12838_S53_L001_R2_001	2.3008541049328914	65.85323339724594
sample12839_S54_L001_R1_001	11.990810780523336	72.60323863954726
sample12839_S54_L001_R2_001	2.737154703871799	70.46842606600549
sample12840_S55_L001_R1_001	64.32075366519872	24.112269357266285
sample12840_S55_L001_R2_001	64.71096493673004	16.342419681513277
sample12841_S56_L001_R1_001	30.81010262755659	56.8090836305408
sample12841_S56_L001_R2_001	7.007788048620715	68.3368512992212
sample12842_S57_L001_R1_001	19.822498847395114	65.37229137851544
sample12842_S57_L001_R2_001	19.420239741816506	53.221530659289996
sample12843_S58_L001_R1_001	26.78289358216814	59.930965892470596
sample12843_S58_L001_R2_001	16.419976988630825	57.46016888004837
sample12844_S59_L001_R1_001	17.55447026626548	67.65653113990655
sample12844_S59_L001_R2_001	13.695813236161303	62.79389751576274
sample12973_S188_L001_R1_001	18.59504132231405	81.40495867768595
sample12973_S188_L001_R2_001	41.04683195592286	58.95316804407714
sample12974_S189_L001_R1_001	25.243770314192847	74.75622968580716
sample12974_S189_L001_R2_001	63.92199349945828	36.078006500541704
sample12975_S190_L001_R1_001	36.97104677060133	54.342984409799556
sample12975_S190_L001_R2_001	80.5493689680772	9.502598366740912
sample13079_S41_L001_R1_001	3.223073606499096	68.42280432365376
sample13079_S41_L001_R2_001	3.09145783378592	50.02609623079658
sample13080_S42_L001_R1_001	5.172971051185641	65.97086803348452
sample13080_S42_L001_R2_001	5.131492474601106	52.282937760587814
sample13081_S43_L001_R1_001	2.9617472070425426	70.24824216200085
sample13081_S43_L001_R2_001	1.5312307663614153	59.1258369546972
sample13082_S44_L001_R1_001	2.8701545404019875	68.66388499473253
sample13082_S44_L001_R2_001	2.6030476727692013	60.34458444973497
sample13083_S45_L001_R1_001	2.777815938783641	71.44015056806472
sample13083_S45_L001_R2_001	0.8586226319187812	54.600843510873595
sample13084_S46_L001_R1_001	2.847420269998585	70.81543146905739
sample13084_S46_L001_R2_001	0.6344147672695593	44.25787619976619
sample13085_S47_L001_R1_001	4.97908946750035	70.34730381483703
sample13085_S47_L001_R2_001	1.258740109605699	47.60042396207347
sample13086_S48_L001_R1_001	2.557538420883123	69.00398866986531
sample13086_S48_L001_R2_001	0.6928559041397934	47.851651210226855
sample13087_S49_L001_R1_001	3.877381938690969	72.91267605633803
sample13087_S49_L001_R2_001	0.5057166528583265	47.91516155758078
sample13088_S50_L001_R1_001	3.1303072410066393	71.95924038906902
sample13088_S50_L001_R2_001	0.7426277597653235	42.633935463949356
sample13225_S41_L001_R1_001	16.725819797064844	66.63654574750686
sample13225_S41_L001_R2_001	41.03013543526542	44.02190480337936
sample13226_S42_L001_R1_001	11.24319213080933	72.2920491456009
sample13226_S42_L001_R2_001	29.276140068646654	55.1187194144772
sample13227_S43_L001_R1_001	15.695075912809955	70.45620006846376
sample13227_S43_L001_R2_001	57.1578378951733	30.98105675259994
sample13228_S44_L001_R1_001	12.852374114846041	73.69451296589473
sample13228_S44_L001_R2_001	38.45096523201158	48.23214658272278
sample13229_S45_L001_R1_001	10.847818095888252	76.45679077176214
sample13229_S45_L001_R2_001	49.01669904951951	39.605979450016626
sample13230_S46_L001_R1_001	14.291087850370312	71.08447799525273
sample13230_S46_L001_R2_001	40.03268609673528	43.551629765101104
sample13231_S47_L001_R1_001	27.820118203542172	59.23354541789181
sample13231_S47_L001_R2_001	60.17169998721592	28.33246467169507
sample13232_S48_L001_R1_001	8.971395920038207	79.05267107866548
sample13232_S48_L001_R2_001	55.91227741011121	33.460974278501745
sample13233_S49_L001_R1_001	13.620866417125436	71.26382310694852
sample13233_S49_L001_R2_001	28.957106318448073	60.2284316814131
sample13234_S50_L001_R1_001	13.90765568663143	69.59778765708684
sample13234_S50_L001_R2_001	37.8968740154724	48.409003395526305
