Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
sample12841_S56_L001_R1_001	(1.0, 2.889584394788558)	(2.0, 0.823931872770944)	(3.0, 0.4978528277167188)	(4.0, 0.4716500473105757)	(5.0, 0.37120605575369386)	(6.0, 0.34063614527986025)	(7.0, 0.33626901521216973)	(8.0, 0.29114200451270106)	(9.0, 0.20962224324914477)	('>10', 5.514229565470559)	('>50', 2.260717665041124)	('>100', 6.076133634180072)	('>500', 2.8837615546983044)	('>1k', 17.8062449959968)	('>5k', 0.0)	('>10k+', 59.22701797801878)
sample12841_S56_L001_R2_001	(1.0, 10.41560521144188)	(2.0, 1.9797656306863674)	(3.0, 1.3407089307809883)	(4.0, 1.0597568964262318)	(5.0, 0.7642477618458403)	(6.0, 0.6026639493412912)	(7.0, 0.4993085377392823)	(8.0, 0.1630395225271126)	(9.0, 0.31443336487371715)	('>10', 5.134289249581483)	('>50', 3.4718684038139602)	('>100', 11.45789358759735)	('>500', 0.7336778513720067)	('>1k', 62.062741101972485)	('>5k', 0.0)	('>10k+', 0.0)
sample12842_S57_L001_R1_001	(1.0, 3.9511295527893036)	(2.0, 1.1664361456892578)	(3.0, 0.7676348547717842)	(4.0, 0.6039649608114339)	(5.0, 0.5071461502996772)	(6.0, 0.5048409405255878)	(7.0, 0.3792070078377132)	(8.0, 0.2858460119870908)	(9.0, 0.24896265560165973)	('>10', 4.204702627939143)	('>50', 3.0463347164591976)	('>100', 9.825956662056248)	('>500', 9.016828031350853)	('>1k', 2.896496081143384)	('>5k', 18.876210235131396)	('>10k+', 43.71830336560627)
sample12842_S57_L001_R2_001	(1.0, 12.60488704472107)	(2.0, 2.215306592899954)	(3.0, 1.2206085753803597)	(4.0, 0.9220839096357769)	(5.0, 0.6166436145689258)	(6.0, 0.6016597510373445)	(7.0, 0.5809128630705395)	(8.0, 0.4426002766251729)	(9.0, 0.42531120331950206)	('>10', 4.785615491009683)	('>50', 3.589211618257261)	('>100', 17.062010142923008)	('>500', 20.81719686491471)	('>1k', 14.695712309820195)	('>5k', 0.0)	('>10k+', 19.420239741816506)
sample12843_S58_L001_R1_001	(1.0, 3.763723941574524)	(2.0, 1.0686635854833362)	(3.0, 0.7020417714854034)	(4.0, 0.5538329530607071)	(5.0, 0.5752842294116499)	(6.0, 0.3510208857427017)	(7.0, 0.2457146200198912)	(8.0, 0.3276194933598549)	(9.0, 0.29836775288129647)	('>10', 5.399871292341894)	('>50', 1.7785058210963551)	('>100', 6.844907271982683)	('>500', 0.0)	('>1k', 9.146044189629283)	('>5k', 16.895805300415375)	('>10k+', 52.04859689151504)
sample12843_S58_L001_R2_001	(1.0, 13.329043078063144)	(2.0, 2.4376450398798726)	(3.0, 1.5912946820335812)	(4.0, 1.1388677626318766)	(5.0, 1.0140603365900271)	(6.0, 0.7137424676768268)	(7.0, 0.4914292400397824)	(8.0, 0.3276194933598549)	(9.0, 0.26326566430702625)	('>10', 4.613974531484623)	('>50', 1.9325649876167632)	('>100', 10.38046763782445)	('>500', 13.229587160436045)	('>1k', 32.1164609294253)	('>5k', 16.419976988630825)	('>10k+', 0.0)
sample12844_S59_L001_R1_001	(1.0, 3.055778157461028)	(2.0, 0.9434960763264133)	(3.0, 0.6667977077883787)	(4.0, 0.5745649182757004)	(5.0, 0.5670048535615465)	(6.0, 0.4173155722212983)	(7.0, 0.3069386273946505)	(8.0, 0.2903064850235118)	(9.0, 0.35381102862240504)	('>10', 5.725993014500204)	('>50', 3.1737151670018298)	('>100', 3.4912378849962957)	('>500', 2.519013562756097)	('>1k', 5.372181985877799)	('>5k', 38.749867698867504)	('>10k+', 33.79197725932534)
sample12844_S59_L001_R2_001	(1.0, 12.18228828038768)	(2.0, 2.4978453815564663)	(3.0, 1.646582094742731)	(4.0, 1.0946973706094925)	(5.0, 0.7862467302720111)	(6.0, 0.6622616689598863)	(7.0, 0.455115895792068)	(8.0, 0.38707531336468237)	(9.0, 0.2993785626804965)	('>10', 3.0512421186325356)	('>50', 1.4197801533181125)	('>100', 7.857931263891619)	('>500', 18.268140375281614)	('>1k', 35.6956015543493)	('>5k', 13.695813236161303)	('>10k+', 0.0)
sample12973_S188_L001_R1_001	(1.0, 19.97245179063361)	(2.0, 4.132231404958678)	(3.0, 2.066115702479339)	(4.0, 3.3057851239669422)	(5.0, 2.066115702479339)	(6.0, 2.479338842975207)	(7.0, 0.0)	(8.0, 1.1019283746556474)	(9.0, 0.0)	('>10', 33.47107438016529)	('>50', 12.8099173553719)	('>100', 18.59504132231405)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
sample12973_S188_L001_R2_001	(1.0, 22.58953168044077)	(2.0, 2.203856749311295)	(3.0, 0.8264462809917356)	(4.0, 0.5509641873278237)	(5.0, 0.0)	(6.0, 0.8264462809917356)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	('>10', 13.774104683195592)	('>50', 18.181818181818183)	('>100', 41.04683195592286)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
