Module	Section	Sample Name	Source
FastQC	all_sections	sample13082_S44_L001_R2_001	/Users/luis_alegria/g2f_project/mi_samples/2018_qc/sample13082_S44_L001_R2_001_fastqc.zip
FastQC	all_sections	sample13083_S45_L001_R1_001	/Users/luis_alegria/g2f_project/mi_samples/2018_qc/sample13083_S45_L001_R1_001_fastqc.zip
FastQC	all_sections	sample13083_S45_L001_R2_001	/Users/luis_alegria/g2f_project/mi_samples/2018_qc/sample13083_S45_L001_R2_001_fastqc.zip
FastQC	all_sections	sample13084_S46_L001_R1_001	/Users/luis_alegria/g2f_project/mi_samples/2018_qc/sample13084_S46_L001_R1_001_fastqc.zip
FastQC	all_sections	sample13084_S46_L001_R2_001	/Users/luis_alegria/g2f_project/mi_samples/2018_qc/sample13084_S46_L001_R2_001_fastqc.zip
FastQC	all_sections	sample13085_S47_L001_R1_001	/Users/luis_alegria/g2f_project/mi_samples/2018_qc/sample13085_S47_L001_R1_001_fastqc.zip
FastQC	all_sections	sample13085_S47_L001_R2_001	/Users/luis_alegria/g2f_project/mi_samples/2018_qc/sample13085_S47_L001_R2_001_fastqc.zip
FastQC	all_sections	sample13086_S48_L001_R1_001	/Users/luis_alegria/g2f_project/mi_samples/2018_qc/sample13086_S48_L001_R1_001_fastqc.zip
FastQC	all_sections	sample13086_S48_L001_R2_001	/Users/luis_alegria/g2f_project/mi_samples/2018_qc/sample13086_S48_L001_R2_001_fastqc.zip
FastQC	all_sections	sample13087_S49_L001_R1_001	/Users/luis_alegria/g2f_project/mi_samples/2018_qc/sample13087_S49_L001_R1_001_fastqc.zip
FastQC	all_sections	sample13087_S49_L001_R2_001	/Users/luis_alegria/g2f_project/mi_samples/2018_qc/sample13087_S49_L001_R2_001_fastqc.zip
FastQC	all_sections	sample13088_S50_L001_R1_001	/Users/luis_alegria/g2f_project/mi_samples/2018_qc/sample13088_S50_L001_R1_001_fastqc.zip
FastQC	all_sections	sample13088_S50_L001_R2_001	/Users/luis_alegria/g2f_project/mi_samples/2018_qc/sample13088_S50_L001_R2_001_fastqc.zip
FastQC	all_sections	sample13225_S41_L001_R1_001	/Users/luis_alegria/g2f_project/mi_samples/2018_qc/sample13225_S41_L001_R1_001_fastqc.zip
FastQC	all_sections	sample13225_S41_L001_R2_001	/Users/luis_alegria/g2f_project/mi_samples/2018_qc/sample13225_S41_L001_R2_001_fastqc.zip
FastQC	all_sections	sample13226_S42_L001_R1_001	/Users/luis_alegria/g2f_project/mi_samples/2018_qc/sample13226_S42_L001_R1_001_fastqc.zip
FastQC	all_sections	sample13226_S42_L001_R2_001	/Users/luis_alegria/g2f_project/mi_samples/2018_qc/sample13226_S42_L001_R2_001_fastqc.zip
FastQC	all_sections	sample13227_S43_L001_R1_001	/Users/luis_alegria/g2f_project/mi_samples/2018_qc/sample13227_S43_L001_R1_001_fastqc.zip
FastQC	all_sections	sample13227_S43_L001_R2_001	/Users/luis_alegria/g2f_project/mi_samples/2018_qc/sample13227_S43_L001_R2_001_fastqc.zip
FastQC	all_sections	sample13228_S44_L001_R1_001	/Users/luis_alegria/g2f_project/mi_samples/2018_qc/sample13228_S44_L001_R1_001_fastqc.zip
FastQC	all_sections	sample13228_S44_L001_R2_001	/Users/luis_alegria/g2f_project/mi_samples/2018_qc/sample13228_S44_L001_R2_001_fastqc.zip
FastQC	all_sections	sample13229_S45_L001_R1_001	/Users/luis_alegria/g2f_project/mi_samples/2018_qc/sample13229_S45_L001_R1_001_fastqc.zip
FastQC	all_sections	sample13229_S45_L001_R2_001	/Users/luis_alegria/g2f_project/mi_samples/2018_qc/sample13229_S45_L001_R2_001_fastqc.zip
FastQC	all_sections	sample13230_S46_L001_R1_001	/Users/luis_alegria/g2f_project/mi_samples/2018_qc/sample13230_S46_L001_R1_001_fastqc.zip
FastQC	all_sections	sample13230_S46_L001_R2_001	/Users/luis_alegria/g2f_project/mi_samples/2018_qc/sample13230_S46_L001_R2_001_fastqc.zip
FastQC	all_sections	sample13231_S47_L001_R1_001	/Users/luis_alegria/g2f_project/mi_samples/2018_qc/sample13231_S47_L001_R1_001_fastqc.zip
FastQC	all_sections	sample13231_S47_L001_R2_001	/Users/luis_alegria/g2f_project/mi_samples/2018_qc/sample13231_S47_L001_R2_001_fastqc.zip
FastQC	all_sections	sample13232_S48_L001_R1_001	/Users/luis_alegria/g2f_project/mi_samples/2018_qc/sample13232_S48_L001_R1_001_fastqc.zip
FastQC	all_sections	sample13232_S48_L001_R2_001	/Users/luis_alegria/g2f_project/mi_samples/2018_qc/sample13232_S48_L001_R2_001_fastqc.zip
FastQC	all_sections	sample13233_S49_L001_R1_001	/Users/luis_alegria/g2f_project/mi_samples/2018_qc/sample13233_S49_L001_R1_001_fastqc.zip
FastQC	all_sections	sample13233_S49_L001_R2_001	/Users/luis_alegria/g2f_project/mi_samples/2018_qc/sample13233_S49_L001_R2_001_fastqc.zip
FastQC	all_sections	sample13234_S50_L001_R1_001	/Users/luis_alegria/g2f_project/mi_samples/2018_qc/sample13234_S50_L001_R1_001_fastqc.zip
FastQC	all_sections	sample13234_S50_L001_R2_001	/Users/luis_alegria/g2f_project/mi_samples/2018_qc/sample13234_S50_L001_R2_001_fastqc.zip
