#Classification	sample12835	sample12836	sample12837	sample12838	sample12839	sample12840	sample12841	sample12842	sample12843	sample12844	sample12973	sample12974	sample12975	sample13079	sample13080	sample13081	sample13082	sample13083	sample13084	sample13085	sample13086	sample13087	sample13088	sample13225	sample13226	sample13227	sample13228	sample13229	sample13230	sample13231	sample13232	sample13233	sample13234	sample5278	sample5279	sample5280	sample5281	sample5282	sample5428	sample5429	sample5430	sample5431	sample5432	sample5926	sample5927	sample5928	sample5929	sample5930	sample6076	sample6077	sample6078	sample6079	sample6080	sample6285	sample6286	sample6287	sample6288	sample6289	sample6290	sample6291	sample6292	sample6293	sample6294	sample6615	sample6616	sample6617	sample6618	sample6619	sample6620	sample6621	sample6622	sample6623	sample6624
Pulveribacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Alicycliphilus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acidovorax	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	6	0	0	0	4	85	0	0	0	0	0	0	0	17	3	16	0	0	0	0	5	0	11	9	10	6	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ottowia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0
Polaromonas	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	8	7	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	295	0	0	0	0	0	0	0	0	0	0
Simplicispira	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	474	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rhodoferax	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	4	8	9	15	0	0	0	0	0	5	6	13	7	6	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Delftia	0	0	0	0	0	0	0	0	0	0	0	0	0	104	0	240	0	0	425	295	466	0	0	0	0	0	0	0	0	0	0	0	0	0	0	243	0	178	0	0	0	0	0	0	0	66	50	81	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hylemonella	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	34	25	0	35	0	0	0	0	0	0	0	0	0	0	0	0	9	59	52	76	0	0	0	0	0	14	14	6	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Diaphorobacter	0	0	0	0	0	0	0	0	7	0	0	0	0	130	180	90	400	185	0	57	348	176	324	0	0	0	0	0	0	0	0	0	0	0	2	6	1	8	0	0	0	0	0	92	84	171	230	270	0	0	0	0	0	0	0	0	0	0	0	0	0	90	0	0	0	0	0	0	0	0	0	0	0
