Sample	Top overrepresented sequence	Sum of remaining overrepresented sequences
sample12835_S50_L001_R1_001	10.757946210268948	89.24205378973105
sample12835_S50_L001_R2_001	2.2004889975550124	97.79951100244499
sample12836_S51_L001_R1_001	11.195666622358102	68.15764987372059
sample12836_S51_L001_R2_001	4.027648544463645	63.86747308254685
sample12837_S52_L001_R1_001	29.52604938902807	56.36024336622526
sample12837_S52_L001_R2_001	5.082059409990286	69.22899943759907
sample12838_S53_L001_R1_001	15.954415954415953	71.90444882752575
sample12838_S53_L001_R2_001	2.739425816348893	77.64628533859303
sample12839_S54_L001_R1_001	12.824968482742172	74.22740127431939
sample12839_S54_L001_R2_001	2.3203516303792293	78.82040273944597
sample12840_S55_L001_R1_001	12.014218009478673	73.42247799593773
sample12840_S55_L001_R2_001	2.704807041299932	69.91875423155044
sample12841_S56_L001_R1_001	34.42203244152662	55.00978366219848
sample12841_S56_L001_R2_001	4.434650622679809	78.19249126785289
sample12842_S57_L001_R1_001	16.31142178299645	70.90664922006819
sample12842_S57_L001_R2_001	2.67724940601219	75.0197995936779
sample12843_S58_L001_R1_001	33.91389983117614	53.97017445132245
sample12843_S58_L001_R2_001	6.800787844682048	72.63927968486213
sample12844_S59_L001_R1_001	21.310888252148995	65.92786111579302
sample12844_S59_L001_R2_001	4.070453396258217	78.92297320074162
sample12973_S188_L001_R1_001	22.22222222222222	77.77777777777777
sample12973_S188_L001_R2_001	50.0	50.0
sample12974_S189_L001_R1_001	28.70249017038008	71.29750982961991
sample12974_S189_L001_R2_001	74.31192660550458	25.68807339449542
sample12975_S190_L001_R1_001	38.220757825370676	54.365733113673805
sample12975_S190_L001_R2_001	86.24382207578253	7.990115321252063
sample13079_S41_L001_R1_001	2.792779324650085	71.54896940930242
sample13079_S41_L001_R2_001	0.7708407302898361	59.72380543045615
sample13080_S42_L001_R1_001	3.176715854379019	70.82215688005488
sample13080_S42_L001_R2_001	1.0593580018878304	64.02393062563239
sample13081_S43_L001_R1_001	3.1628465619057153	72.87558802922631
sample13081_S43_L001_R2_001	1.7482400827411335	67.3862031383801
sample13082_S44_L001_R1_001	3.0276676644284444	71.6052503842731
sample13082_S44_L001_R2_001	3.0357576247876388	71.26344955909717
sample13083_S45_L001_R1_001	2.8966791175917677	74.4930402870524
sample13083_S45_L001_R2_001	0.9742780779258994	63.01830040785634
sample13084_S46_L001_R1_001	2.965914934254022	74.30030118269302
sample13084_S46_L001_R2_001	0.7015352971424373	54.585690149122165
sample13085_S47_L001_R1_001	5.263157894736842	73.1323018012738
sample13085_S47_L001_R2_001	1.0676747548157701	54.15054897823624
sample13086_S48_L001_R1_001	2.730030333670374	72.19315381821394
sample13086_S48_L001_R2_001	0.7853377443136639	56.34503813796421
sample13087_S49_L001_R1_001	3.974416854778028	75.31753197893153
sample13087_S49_L001_R2_001	0.5425131677953349	52.793077501881115
sample13088_S50_L001_R1_001	3.1811380559023257	74.75630162819729
sample13088_S50_L001_R2_001	0.8216243016636121	48.811389412733405
sample13225_S41_L001_R1_001	17.14261472449153	67.99713946328575
sample13225_S41_L001_R2_001	44.30680468352282	47.043708031320456
sample13226_S42_L001_R1_001	11.599991792458637	74.19001826177953
sample13226_S42_L001_R2_001	31.661958729746182	59.2625524085714
sample13227_S43_L001_R1_001	16.046726828380933	71.45165840168093
sample13227_S43_L001_R2_001	60.48677734102096	32.53135290039045
sample13228_S44_L001_R1_001	13.24117811449877	74.98858284086184
sample13228_S44_L001_R2_001	41.23468907837965	51.29951127742674
sample13229_S45_L001_R1_001	11.013781493423117	77.83547807230292
sample13229_S45_L001_R2_001	51.73100883575389	41.21893457357263
sample13230_S46_L001_R1_001	14.692095857502782	72.6987754145427
sample13230_S46_L001_R2_001	43.877072713423566	47.24321790590027
sample13231_S47_L001_R1_001	28.37343291544412	60.36916511069618
sample13231_S47_L001_R2_001	63.32248599626568	29.39770605494798
sample13232_S48_L001_R1_001	9.168892351064619	80.36529045181393
sample13232_S48_L001_R2_001	58.96811707099934	34.75638029527413
sample13233_S49_L001_R1_001	13.840590542493292	72.44581117731224
sample13233_S49_L001_R2_001	30.00505406425068	62.41555797581167
sample13234_S50_L001_R1_001	14.238246190276133	71.02700225337051
sample13234_S50_L001_R2_001	40.25894664476951	51.056028720925795
