Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
sample12841_S56_L001_R1_001	(1.0, 1.770202805259404)	(2.0, 0.6985717681912111)	(3.0, 0.4498655889398899)	(4.0, 0.365744381251943)	(5.0, 0.3566007717206444)	(6.0, 0.3181976116891904)	(7.0, 0.34562844028308615)	(8.0, 0.2194466287511658)	(9.0, 0.3950039317520985)	('>10', 5.551999707404495)	('>50', 1.8616389005723901)	('>100', 7.307572737413821)	('>500', 2.3718523124188504)	('>1k', 11.800742461093941)	('>5k', 0.0)	('>10k+', 66.18693195325787)
sample12841_S56_L001_R2_001	(1.0, 4.35967302452316)	(2.0, 1.8579814567598705)	(3.0, 1.1575809666623997)	(4.0, 0.8997311778797799)	(5.0, 0.5851910100031088)	(6.0, 0.5266719090027979)	(7.0, 0.47363897372126623)	(8.0, 0.17555730300093264)	(9.0, 0.19750196587604926)	('>10', 6.565111643472377)	('>50', 4.092679626209242)	('>100', 13.7318727941042)	('>500', 0.0)	('>1k', 65.37680814878482)	('>5k', 0.0)	('>10k+', 0.0)
sample12842_S57_L001_R1_001	(1.0, 2.8580283048104405)	(2.0, 1.2465135498088908)	(3.0, 0.7437760407699459)	(4.0, 0.6404738128852313)	(5.0, 0.5853792913467167)	(6.0, 0.4545298026927448)	(7.0, 0.5423366963947522)	(8.0, 0.2754726076925726)	(9.0, 0.40287868875038735)	('>10', 4.660652181398712)	('>50', 4.419613649667712)	('>100', 15.328328914293584)	('>500', 7.578940119141903)	('>1k', 3.9185978444268446)	('>5k', 56.34447849591956)	('>10k+', 0.0)
sample12842_S57_L001_R2_001	(1.0, 6.446059020006198)	(2.0, 2.327743535002238)	(3.0, 1.3171034055301127)	(4.0, 1.0399090940394615)	(5.0, 0.7403326331737888)	(6.0, 0.6921249268275886)	(7.0, 0.8797906408181536)	(8.0, 0.5784924761544025)	(9.0, 0.6198133673082883)	('>10', 6.7198099239006925)	('>50', 5.404428222168658)	('>100', 25.610343996418855)	('>500', 26.83964050824696)	('>1k', 20.784408250404603)	('>5k', 0.0)	('>10k+', 0.0)
sample12843_S58_L001_R1_001	(1.0, 2.751828925154755)	(2.0, 1.080472706809229)	(3.0, 0.8525604952166572)	(4.0, 0.6190208216094542)	(5.0, 0.47833427124366906)	(6.0, 0.4051772650534609)	(7.0, 0.413618458075408)	(8.0, 0.4501969611705121)	(9.0, 0.5317951603826674)	('>10', 5.1294316263365225)	('>50', 2.599887450759707)	('>100', 7.8390545863815415)	('>500', 8.244231851435002)	('>1k', 3.0894766460326393)	('>5k', 0.0)	('>10k+', 65.51491277433877)
sample12843_S58_L001_R2_001	(1.0, 7.1862689926843)	(2.0, 2.6449071468767587)	(3.0, 1.8486212718064152)	(4.0, 1.2605514912774338)	(5.0, 1.0270118176702308)	(6.0, 0.6077658975801914)	(7.0, 0.45301069217782775)	(8.0, 0.18007878446820483)	(9.0, 0.4051772650534609)	('>10', 6.356218345526169)	('>50', 2.6533483398987054)	('>100', 13.528418683173888)	('>500', 18.081035453010692)	('>1k', 43.76758581879572)	('>5k', 0.0)	('>10k+', 0.0)
sample12844_S59_L001_R1_001	(1.0, 2.212202932749031)	(2.0, 0.9312320916905444)	(3.0, 0.7015843586718356)	(4.0, 0.5814933423226024)	(5.0, 0.547783583347379)	(6.0, 0.45508174616551494)	(7.0, 0.2949603910332041)	(8.0, 0.3202427102646216)	(9.0, 0.474043485589078)	('>10', 6.754592954660374)	('>50', 2.4397438058317884)	('>100', 6.029833136693073)	('>500', 1.108208326310467)	('>1k', 6.40064048542053)	('>5k', 49.43746839710096)	('>10k+', 21.310888252148995)
sample12844_S59_L001_R2_001	(1.0, 5.652705208157761)	(2.0, 2.6335749199393224)	(3.0, 1.6117478510028653)	(4.0, 0.9775830102814764)	(5.0, 0.7690038766222822)	(6.0, 0.5941345019383111)	(7.0, 0.4424405865498061)	(8.0, 0.28653295128939826)	(9.0, 0.2654643519298837)	('>10', 3.8745154222147313)	('>50', 2.16795887409405)	('>100', 9.860104500252822)	('>500', 26.114528906118323)	('>1k', 44.74970503960897)	('>5k', 0.0)	('>10k+', 0.0)
sample12973_S188_L001_R1_001	(1.0, 16.129032258064516)	(2.0, 3.225806451612903)	(3.0, 2.6881720430107525)	(4.0, 2.867383512544803)	(5.0, 1.7921146953405016)	(6.0, 2.1505376344086025)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	('>10', 34.229390681003586)	('>50', 14.695340501792115)	('>100', 22.22222222222222)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
sample12973_S188_L001_R2_001	(1.0, 13.620071684587815)	(2.0, 1.7921146953405016)	(3.0, 0.5376344086021506)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 1.0752688172043012)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	('>10', 10.57347670250896)	('>50', 22.401433691756274)	('>100', 50.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
