Sample	0	1	2	3	4	5	6	7	8	9	10	11	12
sample12974_S189_L001_R2_001	(30.0, 1.0)	(31.0, 13.0)	(32.0, 16.0)	(33.0, 44.0)	(34.0, 80.0)	(35.0, 118.0)	(36.0, 197.0)	(37.0, 294.0)					
sample12975_S190_L001_R1_001	(29.0, 2.0)	(30.0, 0.0)	(31.0, 10.0)	(32.0, 21.0)	(33.0, 34.0)	(34.0, 57.0)	(35.0, 118.0)	(36.0, 197.0)	(37.0, 775.0)				
sample12975_S190_L001_R2_001	(28.0, 2.0)	(29.0, 3.0)	(30.0, 8.0)	(31.0, 19.0)	(32.0, 33.0)	(33.0, 51.0)	(34.0, 121.0)	(35.0, 185.0)	(36.0, 314.0)	(37.0, 478.0)			
sample13079_S41_L001_R1_001	(28.0, 4.0)	(29.0, 35.0)	(30.0, 171.0)	(31.0, 501.0)	(32.0, 1335.0)	(33.0, 2910.0)	(34.0, 5464.0)	(35.0, 9483.0)	(36.0, 16651.0)	(37.0, 70472.0)			
sample13079_S41_L001_R2_001	(25.0, 3.0)	(26.0, 9.0)	(27.0, 37.0)	(28.0, 168.0)	(29.0, 465.0)	(30.0, 1147.0)	(31.0, 2073.0)	(32.0, 3772.0)	(33.0, 6018.0)	(34.0, 9374.0)	(35.0, 15376.0)	(36.0, 29783.0)	(37.0, 38801.0)
sample13080_S42_L001_R1_001	(27.0, 1.0)	(28.0, 6.0)	(29.0, 56.0)	(30.0, 216.0)	(31.0, 712.0)	(32.0, 1747.0)	(33.0, 3847.0)	(34.0, 7681.0)	(35.0, 12955.0)	(36.0, 22332.0)	(37.0, 97706.0)		
sample13080_S42_L001_R2_001	(25.0, 1.0)	(26.0, 7.0)	(27.0, 49.0)	(28.0, 204.0)	(29.0, 583.0)	(30.0, 1275.0)	(31.0, 2784.0)	(32.0, 4907.0)	(33.0, 8175.0)	(34.0, 13196.0)	(35.0, 21409.0)	(36.0, 40713.0)	(37.0, 53956.0)
sample13081_S43_L001_R1_001	(28.0, 8.0)	(29.0, 23.0)	(30.0, 119.0)	(31.0, 372.0)	(32.0, 995.0)	(33.0, 2273.0)	(34.0, 4486.0)	(35.0, 7706.0)	(36.0, 13568.0)	(37.0, 60369.0)			
sample13081_S43_L001_R2_001	(26.0, 2.0)	(27.0, 25.0)	(28.0, 89.0)	(29.0, 258.0)	(30.0, 761.0)	(31.0, 1466.0)	(32.0, 2829.0)	(33.0, 4864.0)	(34.0, 7907.0)	(35.0, 13112.0)	(36.0, 24633.0)	(37.0, 33973.0)	
sample13082_S44_L001_R1_001	(27.0, 1.0)	(28.0, 4.0)	(29.0, 28.0)	(30.0, 130.0)	(31.0, 421.0)	(32.0, 981.0)	(33.0, 2291.0)	(34.0, 4673.0)	(35.0, 8120.0)	(36.0, 15035.0)	(37.0, 67204.0)		
sample13082_S44_L001_R2_001	(26.0, 5.0)	(27.0, 28.0)	(28.0, 122.0)	(29.0, 328.0)	(30.0, 824.0)	(31.0, 1800.0)	(32.0, 3360.0)	(33.0, 5536.0)	(34.0, 8835.0)	(35.0, 14506.0)	(36.0, 27273.0)	(37.0, 36271.0)	
