Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
sample13229_S45_L001_R2_001	sample13229_S45_L001_R2_001.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	210282.0	49.1 Mbp	0.0	50-250	54.0	1.2449948164845304	233.4856787551954	247	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
sample13230_S46_L001_R1_001	sample13230_S46_L001_R1_001.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	68268.0	16.4 Mbp	0.0	50-250	54.0	4.215737973867697	241.14923536649675	247	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
sample13230_S46_L001_R2_001	sample13230_S46_L001_R2_001.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	68268.0	15.7 Mbp	0.0	50-250	53.0	2.5312005624890137	229.5185958282065	247	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
sample13231_S47_L001_R1_001	sample13231_S47_L001_R1_001.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	93725.0	22.5 Mbp	0.0	50-250	54.0	3.2606028274206458	239.7608695652174	247	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
sample13231_S47_L001_R2_001	sample13231_S47_L001_R2_001.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	93725.0	22 Mbp	0.0	50-250	53.0	1.7743398239530541	234.78349426513736	247	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
sample13232_S48_L001_R1_001	sample13232_S48_L001_R1_001.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	215664.0	51.5 Mbp	0.0	50-250	56.0	2.5368165294161287	238.75114530009645	250	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
sample13232_S48_L001_R2_001	sample13232_S48_L001_R2_001.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	215664.0	49.5 Mbp	0.0	50-250	55.0	0.983937977594777	229.32212144817865	247	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
sample13233_S49_L001_R1_001	sample13233_S49_L001_R1_001.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	702405.0	167 Mbp	0.0	50-250	55.0	1.9411877762829137	237.4178686085663	247	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
sample13233_S49_L001_R2_001	sample13233_S49_L001_R2_001.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	702405.0	163.6 Mbp	0.0	50-250	54.0	0.9117247172215459	232.47484570867235	247	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
sample13234_S50_L001_R1_001	sample13234_S50_L001_R1_001.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	26183.0	6.2 Mbp	0.0	50-250	55.0	6.5729671924531194	239.45838903105067	250	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
sample13234_S50_L001_R2_001	sample13234_S50_L001_R2_001.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	26183.0	6.1 Mbp	0.0	50-250	54.0	3.6741397089714702	232.74878738112517	247	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
